ocel_id,ocel_time,InvoiceReceiptMSEGWEAHR,MovementTypeMSEGBWART,new_value,PostingDateMKPFBLDAT,ocel_changed_field
goods receipt:223,2022-07-27T21:23:00.000Z,,,,,InvoiceReceiptMSEGWEAHR
goods receipt:223,2022-07-25T17:26:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:223,2022-07-26T10:32:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:223,2022-07-26T16:03:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:223,2022-07-27T01:38:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:223,2022-07-25T17:26:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:223,2022-07-26T10:32:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:223,2022-07-26T16:03:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:223,2022-07-27T01:38:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:366,1970-01-01T00:00:00.000Z,X,101,,2022-10-09 08:57:00,
goods receipt:366,2022-09-23T12:47:00.000Z,,,,,InvoiceReceiptMSEGWEAHR
goods receipt:366,2022-09-23T06:57:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:366,2022-09-23T06:57:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:996,1970-01-01T00:00:00.000Z,X,101,,2023-09-10 12:52:00,
goods receipt:996,2023-08-25T13:25:00.000Z,,,,,InvoiceReceiptMSEGWEAHR
goods receipt:996,2023-08-23T10:52:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:996,2023-08-23T10:52:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:357,1970-01-01T00:00:00.000Z,X,101,,2022-10-11 20:29:00,
goods receipt:357,2022-09-26T23:10:00.000Z,,,,,InvoiceReceiptMSEGWEAHR
goods receipt:357,2022-09-24T18:29:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:357,2022-09-24T18:29:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:1933,1970-01-01T00:00:00.000Z,X,101,,2024-10-30 06:23:00,
goods receipt:1933,2024-10-18T13:22:00.000Z,,,,,InvoiceReceiptMSEGWEAHR
goods receipt:1933,2024-10-15T08:02:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:1933,2024-10-17T04:23:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:1933,2024-10-15T08:02:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:1933,2024-10-17T04:23:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:562,1970-01-01T00:00:00.000Z,X,101,,2023-02-07 13:05:00,
goods receipt:562,2023-01-23T16:22:00.000Z,,,,,InvoiceReceiptMSEGWEAHR
goods receipt:562,2023-01-22T12:05:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:562,2023-01-22T12:05:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:782,1970-01-01T00:00:00.000Z,X,101,,2023-06-11 16:40:00,
goods receipt:782,2023-05-10T05:46:00.000Z,,,,,InvoiceReceiptMSEGWEAHR
goods receipt:782,2023-05-08T20:24:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:782,2023-05-08T22:45:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:782,2023-05-10T06:56:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:782,2023-05-24T14:40:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:782,2023-05-08T20:24:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:782,2023-05-08T22:45:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:782,2023-05-10T06:56:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:782,2023-05-24T14:40:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:1638,1970-01-01T00:00:00.000Z,X,101,,2024-06-26 20:06:00,
goods receipt:1638,2024-06-11T11:58:00.000Z,,,,,InvoiceReceiptMSEGWEAHR
goods receipt:1638,2024-06-09T00:25:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:1638,2024-06-12T18:06:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:1638,2024-06-09T00:25:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:1638,2024-06-12T18:06:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:27,1970-01-01T00:00:00.000Z,X,101,,2022-05-20 13:04:00,
goods receipt:27,2022-05-02T19:08:00.000Z,,,,,InvoiceReceiptMSEGWEAHR
goods receipt:27,2022-05-02T10:54:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:27,2022-05-04T11:04:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:27,2022-05-02T10:54:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:27,2022-05-04T11:04:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:193,1970-01-01T00:00:00.000Z,X,101,,2022-08-07 08:17:00,
goods receipt:193,2022-07-23T12:37:00.000Z,,,,,InvoiceReceiptMSEGWEAHR
goods receipt:193,2022-07-21T02:18:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:193,2022-07-23T22:52:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:193,2022-07-24T06:17:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:193,2022-07-21T02:18:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:193,2022-07-23T22:52:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:193,2022-07-24T06:17:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:222,1970-01-01T00:00:00.000Z,X,101,,2022-08-11 05:23:00,
goods receipt:222,2022-07-28T06:39:00.000Z,,,,,InvoiceReceiptMSEGWEAHR
goods receipt:222,2022-07-25T09:15:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:222,2022-07-27T16:58:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:222,2022-07-28T00:52:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:222,2022-07-30T03:23:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:222,2022-07-25T09:15:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:222,2022-07-27T16:58:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:222,2022-07-28T00:52:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:222,2022-07-30T03:23:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:288,1970-01-01T00:00:00.000Z,X,101,,2022-09-16 09:49:00,
goods receipt:288,2022-08-29T14:50:00.000Z,,,,,InvoiceReceiptMSEGWEAHR
goods receipt:288,2022-08-25T03:48:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:288,2022-08-27T07:49:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:288,2022-08-25T03:48:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:288,2022-08-27T07:49:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:75,1970-01-01T00:00:00.000Z,X,101,,2022-05-31 02:00:00,
goods receipt:75,2022-05-24T02:26:00.000Z,,,,,InvoiceReceiptMSEGWEAHR
goods receipt:75,2022-05-23T00:00:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:75,2022-05-23T00:00:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:557,1970-01-01T00:00:00.000Z,X,101,,2023-02-03 01:26:00,
goods receipt:557,2023-01-26T14:38:00.000Z,,,,,InvoiceReceiptMSEGWEAHR
goods receipt:557,2023-01-19T00:26:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:557,2023-01-19T00:26:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:328,1970-01-01T00:00:00.000Z,X,101,,2022-10-02 06:30:00,
goods receipt:328,2022-09-15T07:08:00.000Z,,,,,InvoiceReceiptMSEGWEAHR
goods receipt:328,2022-09-15T04:30:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:328,2022-09-15T04:30:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:1072,1970-01-01T00:00:00.000Z,X,101,,2023-10-06 20:36:00,
goods receipt:1072,2023-09-21T13:24:00.000Z,,,,,InvoiceReceiptMSEGWEAHR
goods receipt:1072,2023-09-18T11:44:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:1072,2023-09-18T11:48:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:1072,2023-09-18T18:36:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:1072,2023-09-18T11:44:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:1072,2023-09-18T11:48:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:1072,2023-09-18T18:36:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:966,1970-01-01T00:00:00.000Z,X,101,,2023-08-13 03:21:00,
goods receipt:966,2023-08-03T02:30:00.000Z,,,,,InvoiceReceiptMSEGWEAHR
goods receipt:966,2023-08-02T01:21:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:966,2023-08-02T01:21:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:252,1970-01-01T00:00:00.000Z,X,101,,2022-08-29 11:17:00,
goods receipt:252,2022-08-18T00:01:00.000Z,,,,,InvoiceReceiptMSEGWEAHR
goods receipt:252,2022-08-11T09:17:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:252,2022-08-11T09:17:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:597,1970-01-01T00:00:00.000Z,X,101,,2023-02-27 15:34:00,
goods receipt:597,2023-02-15T23:00:00.000Z,,,,,InvoiceReceiptMSEGWEAHR
goods receipt:597,2023-02-13T13:30:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:597,2023-02-18T14:34:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:597,2023-02-13T13:30:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:597,2023-02-18T14:34:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:1445,1970-01-01T00:00:00.000Z,X,101,,2024-03-24 01:14:00,
goods receipt:1445,2024-03-09T20:53:00.000Z,,,,,InvoiceReceiptMSEGWEAHR
goods receipt:1445,2024-03-05T04:29:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:1445,2024-03-07T17:04:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:1445,2024-03-08T02:06:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:1445,2024-03-12T00:14:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:1445,2024-03-05T04:29:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:1445,2024-03-07T17:04:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:1445,2024-03-08T02:06:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:1445,2024-03-12T00:14:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:449,1970-01-01T00:00:00.000Z,X,101,,2022-11-17 13:28:00,
goods receipt:449,2022-10-31T13:59:00.000Z,,,,,InvoiceReceiptMSEGWEAHR
goods receipt:449,2022-10-28T11:28:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:449,2022-10-28T11:28:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:907,1970-01-01T00:00:00.000Z,X,101,,2023-07-14 20:03:00,
goods receipt:907,2023-07-10T04:45:00.000Z,,,,,InvoiceReceiptMSEGWEAHR
goods receipt:907,2023-07-06T18:03:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:907,2023-07-06T18:03:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:168,1970-01-01T00:00:00.000Z,X,101,,2022-07-26 10:24:00,
goods receipt:168,2022-07-06T21:05:00.000Z,,,,,InvoiceReceiptMSEGWEAHR
goods receipt:168,2022-06-30T09:53:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:168,2022-07-01T20:00:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:168,2022-07-08T08:24:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:168,2022-06-30T09:53:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:168,2022-07-01T20:00:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:168,2022-07-08T08:24:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:1723,1970-01-01T00:00:00.000Z,X,101,,2024-07-26 10:43:00,
goods receipt:1723,2024-07-10T16:22:00.000Z,,,,,InvoiceReceiptMSEGWEAHR
goods receipt:1723,2024-07-08T10:05:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:1723,2024-07-10T13:52:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:1723,2024-07-12T08:43:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:1723,2024-07-08T10:05:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:1723,2024-07-10T13:52:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:1723,2024-07-12T08:43:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:585,1970-01-01T00:00:00.000Z,X,101,,2023-03-01 14:32:00,
goods receipt:585,2023-02-10T12:22:00.000Z,,,,,InvoiceReceiptMSEGWEAHR
goods receipt:585,2023-02-09T16:07:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:585,2023-02-10T08:01:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:585,2023-02-11T13:32:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:585,2023-02-09T16:07:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:585,2023-02-10T08:01:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:585,2023-02-11T13:32:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:430,1970-01-01T00:00:00.000Z,X,101,,2022-11-07 09:29:00,
goods receipt:430,2022-10-22T01:42:00.000Z,,,,,InvoiceReceiptMSEGWEAHR
goods receipt:430,2022-10-19T04:35:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:430,2022-10-20T07:31:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:430,2022-10-24T07:29:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:430,2022-10-19T04:35:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:430,2022-10-20T07:31:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:430,2022-10-24T07:29:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:1112,1970-01-01T00:00:00.000Z,X,101,,2023-10-15 23:08:00,
goods receipt:1112,2023-10-09T20:31:00.000Z,,,,,InvoiceReceiptMSEGWEAHR
goods receipt:1112,2023-10-05T10:18:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:1112,2023-10-07T21:08:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:1112,2023-10-05T10:18:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:1112,2023-10-07T21:08:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:136,1970-01-01T00:00:00.000Z,X,101,,2022-07-13 05:37:00,
goods receipt:136,2022-06-25T01:11:00.000Z,,,,,InvoiceReceiptMSEGWEAHR
goods receipt:136,2022-06-23T03:37:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:136,2022-06-23T03:37:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:559,1970-01-01T00:00:00.000Z,X,101,,2023-02-10 15:34:00,
goods receipt:559,2023-01-24T06:54:00.000Z,,,,,InvoiceReceiptMSEGWEAHR
goods receipt:559,2023-01-20T04:06:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:559,2023-01-27T09:52:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:559,2023-01-28T14:34:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:559,2023-01-20T04:06:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:559,2023-01-27T09:52:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:559,2023-01-28T14:34:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:985,1970-01-01T00:00:00.000Z,X,101,,2023-09-01 23:40:00,
goods receipt:985,2023-08-17T22:19:00.000Z,,,,,InvoiceReceiptMSEGWEAHR
goods receipt:985,2023-08-14T19:33:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:985,2023-08-22T21:40:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:985,2023-08-14T19:33:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:985,2023-08-22T21:40:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:628,1970-01-01T00:00:00.000Z,X,101,,2023-03-16 19:41:00,
goods receipt:628,2023-02-27T15:27:00.000Z,,,,,InvoiceReceiptMSEGWEAHR
goods receipt:628,2023-02-25T18:41:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:628,2023-02-25T18:41:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:1854,1970-01-01T00:00:00.000Z,X,101,,2024-10-04 13:10:00,
goods receipt:1854,2024-09-18T23:16:00.000Z,,,,,InvoiceReceiptMSEGWEAHR
goods receipt:1854,2024-09-16T21:19:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:1854,2024-09-17T10:53:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:1854,2024-09-17T22:50:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:1854,2024-09-20T11:10:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:1854,2024-09-16T21:19:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:1854,2024-09-17T10:53:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:1854,2024-09-17T22:50:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:1854,2024-09-20T11:10:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:1631,1970-01-01T00:00:00.000Z,X,101,,2024-06-13 00:24:00,
goods receipt:1631,2024-06-04T02:41:00.000Z,,,,,InvoiceReceiptMSEGWEAHR
goods receipt:1631,2024-05-29T18:59:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:1631,2024-05-29T22:24:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:1631,2024-05-29T18:59:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:1631,2024-05-29T22:24:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:705,1970-01-01T00:00:00.000Z,X,101,,2023-04-11 18:46:00,
goods receipt:705,2023-04-03T20:42:00.000Z,,,,,InvoiceReceiptMSEGWEAHR
goods receipt:705,2023-03-31T16:46:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:705,2023-03-31T16:46:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:614,1970-01-01T00:00:00.000Z,X,101,,2023-03-07 02:10:00,
goods receipt:614,2023-02-20T12:54:00.000Z,,,,,InvoiceReceiptMSEGWEAHR
goods receipt:614,2023-02-19T01:10:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:614,2023-02-19T01:10:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:965,1970-01-01T00:00:00.000Z,X,101,,2023-08-17 13:52:00,
goods receipt:965,2023-08-05T10:11:00.000Z,,,,,InvoiceReceiptMSEGWEAHR
goods receipt:965,2023-08-04T11:52:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:965,2023-08-04T11:52:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:1711,1970-01-01T00:00:00.000Z,X,101,,2024-07-25 13:38:00,
goods receipt:1711,2024-07-09T12:00:00.000Z,,,,,InvoiceReceiptMSEGWEAHR
goods receipt:1711,2024-07-05T02:22:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:1711,2024-07-07T06:48:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:1711,2024-07-07T11:38:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:1711,2024-07-05T02:22:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:1711,2024-07-07T06:48:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:1711,2024-07-07T11:38:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:762,1970-01-01T00:00:00.000Z,X,101,,2023-05-12 08:05:00,
goods receipt:762,2023-04-26T00:58:00.000Z,,,,,InvoiceReceiptMSEGWEAHR
goods receipt:762,2023-04-19T18:14:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:762,2023-04-22T06:05:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:762,2023-04-19T18:14:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:762,2023-04-22T06:05:00.000Z,,,,,PostingDateMKPFBLDAT
goods receipt:1405,1970-01-01T00:00:00.000Z,X,101,,2024-03-01 18:43:00,
goods receipt:1405,2024-02-16T07:47:00.000Z,,,,,InvoiceReceiptMSEGWEAHR
goods receipt:1405,2024-02-15T03:12:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:1405,2024-02-16T17:43:00.000Z,,,,,MovementTypeMSEGBWART
goods receipt:1405,2024-02-15T03:12:00.000Z,,,,,PostingDateMKPFBLDAT
