ocel_id,ocel_time,PurchasingGroupEKKOEKGRP,PurchasingOrganizationEKKOEKORG,DocumentTypeEKKOBSART,ReleaseStatusEKKOFRGZU,VendorEKKOLIFNR,new_value,ocel_changed_field
purchase_order:505,2023-02-08T12:27:00.000Z,,,,,,,ReleaseStatusEKKOFRGZU
purchase_order:1141,1970-01-01T00:00:00.000Z,004,Global Bike Inc,Standard PO (NB),Fully Approved,Wheel Wizards Co,,
purchase_order:1141,2024-01-29T14:18:00.000Z,,,,,,,VendorEKKOLIFNR
purchase_order:1141,2024-01-29T14:18:00.000Z,,,,,,,PurchasingOrganizationEKKOEKORG
purchase_order:1141,2024-01-29T14:18:00.000Z,,,,,,,PurchasingGroupEKKOEKGRP
purchase_order:1141,2024-01-29T14:18:00.000Z,,,,,,,DocumentTypeEKKOBSART
purchase_order:1141,2024-01-30T11:44:00.000Z,,,,,,,ReleaseStatusEKKOFRGZU
purchase_order:376,1970-01-01T00:00:00.000Z,005,Global Bike Inc,Standard PO (NB),Fully Approved,Cassette Captains Co,,
purchase_order:376,2022-10-17T11:25:00.000Z,,,,,,,VendorEKKOLIFNR
purchase_order:376,2022-10-17T11:25:00.000Z,,,,,,,PurchasingOrganizationEKKOEKORG
purchase_order:376,2022-10-17T11:25:00.000Z,,,,,,,PurchasingGroupEKKOEKGRP
purchase_order:376,2022-10-17T11:25:00.000Z,,,,,,,DocumentTypeEKKOBSART
purchase_order:376,2022-10-20T14:36:00.000Z,,,,,,,ReleaseStatusEKKOFRGZU
purchase_order:279,1970-01-01T00:00:00.000Z,005,Global Bike Inc,Standard PO (NB),Fully Approved,Derailleur Dynamos Co,,
purchase_order:279,2022-09-03T05:25:00.000Z,,,,,,,VendorEKKOLIFNR
purchase_order:279,2022-09-03T05:25:00.000Z,,,,,,,PurchasingOrganizationEKKOEKORG
purchase_order:279,2022-09-03T05:25:00.000Z,,,,,,,PurchasingGroupEKKOEKGRP
purchase_order:279,2022-09-03T05:25:00.000Z,,,,,,,DocumentTypeEKKOBSART
purchase_order:279,2022-09-06T11:39:00.000Z,,,,,,,ReleaseStatusEKKOFRGZU
purchase_order:1487,1970-01-01T00:00:00.000Z,004,Global Bike Inc,Standard PO (NB),Fully Approved,Rim Royals Ltd,,
purchase_order:1487,2024-08-14T12:55:00.000Z,,,,,,,VendorEKKOLIFNR
purchase_order:1487,2024-08-14T12:55:00.000Z,,,,,,,PurchasingOrganizationEKKOEKORG
purchase_order:1487,2024-08-14T12:55:00.000Z,,,,,,,PurchasingGroupEKKOEKGRP
purchase_order:1487,2024-08-14T12:55:00.000Z,,,,,,,DocumentTypeEKKOBSART
purchase_order:1487,2024-08-17T11:29:00.000Z,,,,,,,ReleaseStatusEKKOFRGZU
purchase_order:1486,1970-01-01T00:00:00.000Z,005,Global Bike Inc,Standard PO (NB),Fully Approved,Derailleur Dynamos Co,,
purchase_order:1486,2024-08-07T23:56:00.000Z,,,,,,,VendorEKKOLIFNR
purchase_order:1486,2024-08-07T23:56:00.000Z,,,,,,,PurchasingOrganizationEKKOEKORG
purchase_order:1486,2024-08-07T23:56:00.000Z,,,,,,,PurchasingGroupEKKOEKGRP
purchase_order:1486,2024-08-07T23:56:00.000Z,,,,,,,DocumentTypeEKKOBSART
purchase_order:1486,2024-08-09T03:31:00.000Z,,,,,,,ReleaseStatusEKKOFRGZU
purchase_order:1453,1970-01-01T00:00:00.000Z,005,Global Bike Inc,Standard PO (NB),Fully Approved,Chain Chiefs Ltd,,
purchase_order:1453,2024-07-17T03:38:00.000Z,,,,,,,VendorEKKOLIFNR
purchase_order:1453,2024-07-17T03:38:00.000Z,,,,,,,PurchasingOrganizationEKKOEKORG
purchase_order:1453,2024-07-17T03:38:00.000Z,,,,,,,PurchasingGroupEKKOEKGRP
purchase_order:1453,2024-07-17T03:38:00.000Z,,,,,,,DocumentTypeEKKOBSART
purchase_order:1453,2024-07-17T14:41:00.000Z,,,,,,,ReleaseStatusEKKOFRGZU
purchase_order:501,1970-01-01T00:00:00.000Z,005,Global Bike Inc,Standard PO (NB),Fully Approved,Lever Legends Ltd,,
purchase_order:501,2023-02-07T17:59:00.000Z,,,,,,,VendorEKKOLIFNR
purchase_order:501,2023-02-07T17:59:00.000Z,,,,,,,PurchasingOrganizationEKKOEKORG
purchase_order:501,2023-02-07T17:59:00.000Z,,,,,,,PurchasingGroupEKKOEKGRP
purchase_order:501,2023-02-07T17:59:00.000Z,,,,,,,DocumentTypeEKKOBSART
purchase_order:501,2023-02-09T00:11:00.000Z,,,,,,,ReleaseStatusEKKOFRGZU
purchase_order:1590,1970-01-01T00:00:00.000Z,002,Global Bike Inc,Standard PO (NB),Fully Approved,Safety Gear Ltd,,
purchase_order:1590,2024-10-02T21:05:00.000Z,,,,,,,VendorEKKOLIFNR
purchase_order:1590,2024-10-02T21:05:00.000Z,,,,,,,PurchasingOrganizationEKKOEKORG
purchase_order:1590,2024-10-02T21:05:00.000Z,,,,,,,PurchasingGroupEKKOEKGRP
purchase_order:1590,2024-10-02T21:05:00.000Z,,,,,,,DocumentTypeEKKOBSART
purchase_order:1590,2024-10-10T06:42:00.000Z,,,,,,,ReleaseStatusEKKOFRGZU
purchase_order:43,1970-01-01T00:00:00.000Z,003,Global Bike Inc,Standard PO (NB),Fully Approved,Lock Lords Ltd,,
purchase_order:43,2022-05-04T07:47:00.000Z,,,,,,,VendorEKKOLIFNR
purchase_order:43,2022-05-04T07:47:00.000Z,,,,,,,PurchasingOrganizationEKKOEKORG
purchase_order:43,2022-05-04T07:47:00.000Z,,,,,,,PurchasingGroupEKKOEKGRP
purchase_order:43,2022-05-04T07:47:00.000Z,,,,,,,DocumentTypeEKKOBSART
purchase_order:43,2022-05-22T18:24:00.000Z,,,,,,,ReleaseStatusEKKOFRGZU
purchase_order:90,1970-01-01T00:00:00.000Z,004,Global Bike Inc,Standard PO (NB),Fully Approved,Cycle Component Corp,,
purchase_order:90,2022-05-29T11:35:00.000Z,,,,,,,VendorEKKOLIFNR
purchase_order:90,2022-05-29T11:35:00.000Z,,,,,,,PurchasingOrganizationEKKOEKORG
purchase_order:90,2022-05-29T11:35:00.000Z,,,,,,,PurchasingGroupEKKOEKGRP
purchase_order:90,2022-05-29T11:35:00.000Z,,,,,,,DocumentTypeEKKOBSART
purchase_order:90,2022-05-30T20:01:00.000Z,,,,,,,ReleaseStatusEKKOFRGZU
purchase_order:1584,1970-01-01T00:00:00.000Z,002,Global Bike Inc,Standard PO (NB),Fully Approved,Safety Gear Ltd,,
purchase_order:1584,2024-09-27T10:23:00.000Z,,,,,,,VendorEKKOLIFNR
purchase_order:1584,2024-09-27T10:23:00.000Z,,,,,,,PurchasingOrganizationEKKOEKORG
purchase_order:1584,2024-09-27T10:23:00.000Z,,,,,,,PurchasingGroupEKKOEKGRP
purchase_order:1584,2024-09-27T10:23:00.000Z,,,,,,,DocumentTypeEKKOBSART
purchase_order:1584,2024-09-28T08:54:00.000Z,,,,,,,ReleaseStatusEKKOFRGZU
purchase_order:426,1970-01-01T00:00:00.000Z,004,Global Bike Inc,Standard PO (NB),Fully Approved,Bearing Barons Inc,,
purchase_order:426,2022-12-14T00:51:00.000Z,,,,,,,VendorEKKOLIFNR
purchase_order:426,2022-12-14T00:51:00.000Z,,,,,,,PurchasingOrganizationEKKOEKORG
purchase_order:426,2022-12-14T00:51:00.000Z,,,,,,,PurchasingGroupEKKOEKGRP
purchase_order:426,2022-12-14T00:51:00.000Z,,,,,,,DocumentTypeEKKOBSART
purchase_order:426,2022-12-17T00:56:00.000Z,,,,,,,ReleaseStatusEKKOFRGZU
purchase_order:1234,1970-01-01T00:00:00.000Z,002,Global Bike Inc,Standard PO (NB),Fully Approved,Rider Apparel Co,,
purchase_order:1234,2024-03-15T23:28:00.000Z,,,,,,,VendorEKKOLIFNR
purchase_order:1234,2024-03-15T23:28:00.000Z,,,,,,,PurchasingOrganizationEKKOEKORG
purchase_order:1234,2024-03-15T23:28:00.000Z,,,,,,,PurchasingGroupEKKOEKGRP
purchase_order:1234,2024-03-15T23:28:00.000Z,,,,,,,DocumentTypeEKKOBSART
purchase_order:1234,2024-03-21T06:42:00.000Z,,,,,,,ReleaseStatusEKKOFRGZU
purchase_order:608,1970-01-01T00:00:00.000Z,004,Global Bike Inc,Standard PO (NB),Fully Approved,Bearing Barons Inc,,
purchase_order:608,2023-03-31T13:54:00.000Z,,,,,,,VendorEKKOLIFNR
purchase_order:608,2023-03-31T13:54:00.000Z,,,,,,,PurchasingOrganizationEKKOEKORG
purchase_order:608,2023-03-31T13:54:00.000Z,,,,,,,PurchasingGroupEKKOEKGRP
purchase_order:608,2023-03-31T13:54:00.000Z,,,,,,,DocumentTypeEKKOBSART
purchase_order:608,2023-03-31T15:45:00.000Z,,,,,,,ReleaseStatusEKKOFRGZU
purchase_order:1551,1970-01-01T00:00:00.000Z,004,Global Bike Inc,Standard PO (NB),Fully Approved,Nipple Navigators Co,,
purchase_order:1551,2024-09-20T10:12:00.000Z,,,,,,,VendorEKKOLIFNR
purchase_order:1551,2024-09-20T10:12:00.000Z,,,,,,,PurchasingOrganizationEKKOEKORG
purchase_order:1551,2024-09-20T10:12:00.000Z,,,,,,,PurchasingGroupEKKOEKGRP
purchase_order:1551,2024-09-20T10:12:00.000Z,,,,,,,DocumentTypeEKKOBSART
purchase_order:1551,2024-09-20T16:46:00.000Z,,,,,,,ReleaseStatusEKKOFRGZU
purchase_order:1480,1970-01-01T00:00:00.000Z,005,Global Bike Inc,Standard PO (NB),Fully Approved,Derailleur Dynamos Co,,
purchase_order:1480,2024-08-07T02:37:00.000Z,,,,,,,VendorEKKOLIFNR
purchase_order:1480,2024-08-07T02:37:00.000Z,,,,,,,PurchasingOrganizationEKKOEKORG
purchase_order:1480,2024-08-07T02:37:00.000Z,,,,,,,PurchasingGroupEKKOEKGRP
purchase_order:1480,2024-08-07T02:37:00.000Z,,,,,,,DocumentTypeEKKOBSART
purchase_order:1480,2024-08-07T12:33:00.000Z,,,,,,,ReleaseStatusEKKOFRGZU
purchase_order:1161,1970-01-01T00:00:00.000Z,001,Global Bike Inc,Standard PO (NB),Fully Approved,Bike Components Corp,,
purchase_order:1161,2024-02-08T09:32:00.000Z,,,,,,,VendorEKKOLIFNR
purchase_order:1161,2024-02-08T09:32:00.000Z,,,,,,,PurchasingOrganizationEKKOEKORG
purchase_order:1161,2024-02-08T09:32:00.000Z,,,,,,,PurchasingGroupEKKOEKGRP
purchase_order:1161,2024-02-08T09:32:00.000Z,,,,,,,DocumentTypeEKKOBSART
purchase_order:1161,2024-02-10T22:45:00.000Z,,,,,,,ReleaseStatusEKKOFRGZU
purchase_order:70,1970-01-01T00:00:00.000Z,002,Global Bike Inc,Standard PO (NB),Fully Approved,Jacket Junction Co,,
purchase_order:70,2022-05-18T08:00:00.000Z,,,,,,,VendorEKKOLIFNR
purchase_order:70,2022-05-18T08:00:00.000Z,,,,,,,PurchasingOrganizationEKKOEKORG
purchase_order:70,2022-05-18T08:00:00.000Z,,,,,,,PurchasingGroupEKKOEKGRP
purchase_order:70,2022-05-18T08:00:00.000Z,,,,,,,DocumentTypeEKKOBSART
purchase_order:70,2022-05-25T10:47:00.000Z,,,,,,,ReleaseStatusEKKOFRGZU
purchase_order:1264,1970-01-01T00:00:00.000Z,004,Global Bike Inc,Standard PO (NB),Fully Approved,Nipple Navigators Co,,
purchase_order:1264,2024-04-16T21:36:00.000Z,,,,,,,VendorEKKOLIFNR
purchase_order:1264,2024-04-16T21:36:00.000Z,,,,,,,PurchasingOrganizationEKKOEKORG
purchase_order:1264,2024-04-16T21:36:00.000Z,,,,,,,PurchasingGroupEKKOEKGRP
purchase_order:1264,2024-04-16T21:36:00.000Z,,,,,,,DocumentTypeEKKOBSART
purchase_order:1264,2024-04-20T03:33:00.000Z,,,,,,,ReleaseStatusEKKOFRGZU
purchase_order:742,1970-01-01T00:00:00.000Z,002,Global Bike Inc,Standard PO (NB),Fully Approved,Pants Providers Inc,,
purchase_order:742,2023-06-28T13:20:00.000Z,,,,,,,VendorEKKOLIFNR
purchase_order:742,2023-06-28T13:20:00.000Z,,,,,,,PurchasingOrganizationEKKOEKORG
purchase_order:742,2023-06-28T13:20:00.000Z,,,,,,,PurchasingGroupEKKOEKGRP
purchase_order:742,2023-06-28T13:20:00.000Z,,,,,,,DocumentTypeEKKOBSART
purchase_order:742,2023-06-29T08:56:00.000Z,,,,,,,ReleaseStatusEKKOFRGZU
purchase_order:262,1970-01-01T00:00:00.000Z,005,Global Bike Inc,Standard PO (NB),Fully Approved,Lever Legends Ltd,,
purchase_order:262,2022-08-27T03:42:00.000Z,,,,,,,VendorEKKOLIFNR
purchase_order:262,2022-08-27T03:42:00.000Z,,,,,,,PurchasingOrganizationEKKOEKORG
purchase_order:262,2022-08-27T03:42:00.000Z,,,,,,,PurchasingGroupEKKOEKGRP
purchase_order:262,2022-08-27T03:42:00.000Z,,,,,,,DocumentTypeEKKOBSART
purchase_order:262,2022-08-31T20:48:00.000Z,,,,,,,ReleaseStatusEKKOFRGZU
purchase_order:818,1970-01-01T00:00:00.000Z,002,Global Bike Inc,Standard PO (NB),Fully Approved,Road Protection Corp,,
purchase_order:818,2023-08-15T01:23:00.000Z,,,,,,,VendorEKKOLIFNR
purchase_order:818,2023-08-15T01:23:00.000Z,,,,,,,PurchasingOrganizationEKKOEKORG
purchase_order:818,2023-08-15T01:23:00.000Z,,,,,,,PurchasingGroupEKKOEKGRP
purchase_order:818,2023-08-15T01:23:00.000Z,,,,,,,DocumentTypeEKKOBSART
purchase_order:818,2023-08-17T19:58:00.000Z,,,,,,,ReleaseStatusEKKOFRGZU
purchase_order:1572,1970-01-01T00:00:00.000Z,005,Global Bike Inc,Standard PO (NB),Fully Approved,Cable Creators Inc,,
purchase_order:1572,2024-09-23T21:09:00.000Z,,,,,,,VendorEKKOLIFNR
purchase_order:1572,2024-09-23T21:09:00.000Z,,,,,,,PurchasingOrganizationEKKOEKORG
purchase_order:1572,2024-09-23T21:09:00.000Z,,,,,,,PurchasingGroupEKKOEKGRP
purchase_order:1572,2024-09-23T21:09:00.000Z,,,,,,,DocumentTypeEKKOBSART
purchase_order:1572,2024-09-30T16:14:00.000Z,,,,,,,ReleaseStatusEKKOFRGZU
purchase_order:726,1970-01-01T00:00:00.000Z,002,Global Bike Inc,Standard PO (NB),Fully Approved,Road Protection Corp,,
purchase_order:726,2023-06-19T21:53:00.000Z,,,,,,,VendorEKKOLIFNR
purchase_order:726,2023-06-19T21:53:00.000Z,,,,,,,PurchasingOrganizationEKKOEKORG
purchase_order:726,2023-06-19T21:53:00.000Z,,,,,,,PurchasingGroupEKKOEKGRP
purchase_order:726,2023-06-19T21:53:00.000Z,,,,,,,DocumentTypeEKKOBSART
purchase_order:726,2023-06-21T04:16:00.000Z,,,,,,,ReleaseStatusEKKOFRGZU
purchase_order:634,1970-01-01T00:00:00.000Z,002,Global Bike Inc,Standard PO (NB),Fully Approved,Road Protection Corp,,
purchase_order:634,2023-04-22T17:44:00.000Z,,,,,,,VendorEKKOLIFNR
purchase_order:634,2023-04-22T17:44:00.000Z,,,,,,,PurchasingOrganizationEKKOEKORG
purchase_order:634,2023-04-22T17:44:00.000Z,,,,,,,PurchasingGroupEKKOEKGRP
purchase_order:634,2023-04-22T17:44:00.000Z,,,,,,,DocumentTypeEKKOBSART
purchase_order:634,2023-04-25T01:05:00.000Z,,,,,,,ReleaseStatusEKKOFRGZU
purchase_order:1442,1970-01-01T00:00:00.000Z,002,Global Bike Inc,Standard PO (NB),Fully Approved,Helmet Heroes Inc,,
purchase_order:1442,2024-07-14T09:53:00.000Z,,,,,,,VendorEKKOLIFNR
purchase_order:1442,2024-07-14T09:53:00.000Z,,,,,,,PurchasingOrganizationEKKOEKORG
purchase_order:1442,2024-07-14T09:53:00.000Z,,,,,,,PurchasingGroupEKKOEKGRP
purchase_order:1442,2024-07-14T09:53:00.000Z,,,,,,,DocumentTypeEKKOBSART
purchase_order:1442,2024-07-16T18:52:00.000Z,,,,,,,ReleaseStatusEKKOFRGZU
purchase_order:937,1970-01-01T00:00:00.000Z,004,Global Bike Inc,Standard PO (NB),Fully Approved,Tube Traders Inc,,
purchase_order:937,2023-10-09T21:42:00.000Z,,,,,,,VendorEKKOLIFNR
purchase_order:937,2023-10-09T21:42:00.000Z,,,,,,,PurchasingOrganizationEKKOEKORG
purchase_order:937,2023-10-09T21:42:00.000Z,,,,,,,PurchasingGroupEKKOEKGRP
purchase_order:937,2023-10-09T21:42:00.000Z,,,,,,,DocumentTypeEKKOBSART
purchase_order:937,2023-10-10T20:44:00.000Z,,,,,,,ReleaseStatusEKKOFRGZU
purchase_order:523,1970-01-01T00:00:00.000Z,001,Global Bike Inc,Standard PO (NB),Fully Approved,Bike Components Corp,,
purchase_order:523,2023-02-13T23:41:00.000Z,,,,,,,VendorEKKOLIFNR
purchase_order:523,2023-02-13T23:41:00.000Z,,,,,,,PurchasingOrganizationEKKOEKORG
purchase_order:523,2023-02-13T23:41:00.000Z,,,,,,,PurchasingGroupEKKOEKGRP
purchase_order:523,2023-02-13T23:41:00.000Z,,,,,,,DocumentTypeEKKOBSART
purchase_order:523,2023-02-14T13:20:00.000Z,,,,,,,ReleaseStatusEKKOFRGZU
purchase_order:786,1970-01-01T00:00:00.000Z,004,Global Bike Inc,Standard PO (NB),Fully Approved,Spoke Suppliers Inc,,
purchase_order:786,2023-07-21T05:14:00.000Z,,,,,,,VendorEKKOLIFNR
purchase_order:786,2023-07-21T05:14:00.000Z,,,,,,,PurchasingOrganizationEKKOEKORG
purchase_order:786,2023-07-21T05:14:00.000Z,,,,,,,PurchasingGroupEKKOEKGRP
purchase_order:786,2023-07-21T05:14:00.000Z,,,,,,,DocumentTypeEKKOBSART
purchase_order:786,2023-07-22T01:06:00.000Z,,,,,,,ReleaseStatusEKKOFRGZU
purchase_order:1405,1970-01-01T00:00:00.000Z,003,Global Bike Inc,Standard PO (NB),Fully Approved,Lock Lords Ltd,,
purchase_order:1405,2024-06-25T16:51:00.000Z,,,,,,,VendorEKKOLIFNR
purchase_order:1405,2024-06-25T16:51:00.000Z,,,,,,,PurchasingOrganizationEKKOEKORG
purchase_order:1405,2024-06-25T16:51:00.000Z,,,,,,,PurchasingGroupEKKOEKGRP
purchase_order:1405,2024-06-25T16:51:00.000Z,,,,,,,DocumentTypeEKKOBSART
purchase_order:1405,2024-07-02T14:54:00.000Z,,,,,,,ReleaseStatusEKKOFRGZU
purchase_order:440,1970-01-01T00:00:00.000Z,003,Global Bike Inc,Standard PO (NB),Fully Approved,Speedometer Specialists Co,,
purchase_order:440,2022-12-27T01:34:00.000Z,,,,,,,VendorEKKOLIFNR
purchase_order:440,2022-12-27T01:34:00.000Z,,,,,,,PurchasingOrganizationEKKOEKORG
purchase_order:440,2022-12-27T01:34:00.000Z,,,,,,,PurchasingGroupEKKOEKGRP
purchase_order:440,2022-12-27T01:34:00.000Z,,,,,,,DocumentTypeEKKOBSART
purchase_order:440,2022-12-28T01:01:00.000Z,,,,,,,ReleaseStatusEKKOFRGZU
purchase_order:496,1970-01-01T00:00:00.000Z,005,Global Bike Inc,Standard PO (NB),Fully Approved,Crankset Kings Ltd,,
purchase_order:496,2023-02-02T08:39:00.000Z,,,,,,,VendorEKKOLIFNR
purchase_order:496,2023-02-02T08:39:00.000Z,,,,,,,PurchasingOrganizationEKKOEKORG
purchase_order:496,2023-02-02T08:39:00.000Z,,,,,,,PurchasingGroupEKKOEKGRP
purchase_order:496,2023-02-02T08:39:00.000Z,,,,,,,DocumentTypeEKKOBSART
purchase_order:496,2023-02-04T00:59:00.000Z,,,,,,,ReleaseStatusEKKOFRGZU
purchase_order:590,1970-01-01T00:00:00.000Z,001,Global Bike Inc,Standard PO (NB),Fully Approved,Professional Cycling Products,,
purchase_order:590,2023-03-24T10:36:00.000Z,,,,,,,VendorEKKOLIFNR
purchase_order:590,2023-03-24T10:36:00.000Z,,,,,,,PurchasingOrganizationEKKOEKORG
purchase_order:590,2023-03-24T10:36:00.000Z,,,,,,,PurchasingGroupEKKOEKGRP
purchase_order:590,2023-03-24T10:36:00.000Z,,,,,,,DocumentTypeEKKOBSART
purchase_order:590,2023-03-28T01:49:00.000Z,,,,,,,ReleaseStatusEKKOFRGZU
purchase_order:1494,1970-01-01T00:00:00.000Z,005,Global Bike Inc,Standard PO (NB),Fully Approved,Cassette Captains Co,,
purchase_order:1494,2024-08-19T08:42:00.000Z,,,,,,,VendorEKKOLIFNR
purchase_order:1494,2024-08-19T08:42:00.000Z,,,,,,,PurchasingOrganizationEKKOEKORG
purchase_order:1494,2024-08-19T08:42:00.000Z,,,,,,,PurchasingGroupEKKOEKGRP
purchase_order:1494,2024-08-19T08:42:00.000Z,,,,,,,DocumentTypeEKKOBSART
purchase_order:1494,2024-08-19T19:29:00.000Z,,,,,,,ReleaseStatusEKKOFRGZU
purchase_order:1395,1970-01-01T00:00:00.000Z,003,Global Bike Inc,Standard PO (NB),Fully Approved,Bottle Bosses Co,,
purchase_order:1395,2024-06-13T18:10:00.000Z,,,,,,,VendorEKKOLIFNR
purchase_order:1395,2024-06-13T18:10:00.000Z,,,,,,,PurchasingOrganizationEKKOEKORG
purchase_order:1395,2024-06-13T18:10:00.000Z,,,,,,,PurchasingGroupEKKOEKGRP
purchase_order:1395,2024-06-13T18:10:00.000Z,,,,,,,DocumentTypeEKKOBSART
purchase_order:1395,2024-06-16T22:10:00.000Z,,,,,,,ReleaseStatusEKKOFRGZU
purchase_order:284,1970-01-01T00:00:00.000Z,003,Global Bike Inc,Standard PO (NB),Fully Approved,Mirror Makers Ltd,,
purchase_order:284,2022-09-05T19:12:00.000Z,,,,,,,VendorEKKOLIFNR
purchase_order:284,2022-09-05T19:12:00.000Z,,,,,,,PurchasingOrganizationEKKOEKORG
purchase_order:284,2022-09-05T19:12:00.000Z,,,,,,,PurchasingGroupEKKOEKGRP
purchase_order:284,2022-09-05T19:12:00.000Z,,,,,,,DocumentTypeEKKOBSART
purchase_order:284,2022-09-07T23:14:00.000Z,,,,,,,ReleaseStatusEKKOFRGZU
