ocel_id,ocel_time,PurchasingGroupEBANEKGRP,ReleaseIndicatorEBANFRGZU,new_value,ocel_changed_field
purchase_requisition:844:pr_trigger_844,1970-01-01T00:00:00.000Z,002,Released,,
purchase_requisition:844:pr_trigger_844,2024-07-09T11:25:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:786:pr_trigger_786,1970-01-01T00:00:00.000Z,001,Released,,
purchase_requisition:786:pr_trigger_786,2024-05-14T08:15:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:786:pr_trigger_786,2024-05-14T08:27:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:354:pr_trigger_354,1970-01-01T00:00:00.000Z,001,Released,,
purchase_requisition:354:pr_trigger_354,2023-03-27T13:29:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:354:pr_trigger_354,2023-03-29T21:12:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:654:pr_trigger_654,1970-01-01T00:00:00.000Z,004,Released,,
purchase_requisition:654:pr_trigger_654,2024-01-18T17:51:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:181:pr_trigger_181,1970-01-01T00:00:00.000Z,005,Released,,
purchase_requisition:181:pr_trigger_181,2022-09-08T03:35:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:181:pr_trigger_181,2022-09-08T10:38:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:65:pr_trigger_65,1970-01-01T00:00:00.000Z,005,Released,,
purchase_requisition:65:pr_trigger_65,2022-05-26T19:10:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:65:pr_trigger_65,2022-05-28T15:01:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:154:pr_trigger_154,1970-01-01T00:00:00.000Z,001,Released,,
purchase_requisition:154:pr_trigger_154,2022-08-23T09:58:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:154:pr_trigger_154,2022-08-28T00:37:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:462:pr_trigger_462,1970-01-01T00:00:00.000Z,002,Released,,
purchase_requisition:462:pr_trigger_462,2023-07-18T22:13:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:868:pr_trigger_868,1970-01-01T00:00:00.000Z,001,Released,,
purchase_requisition:868:pr_trigger_868,2024-08-18T19:24:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:556:pr_trigger_556,1970-01-01T00:00:00.000Z,001,Released,,
purchase_requisition:556:pr_trigger_556,2023-10-16T08:14:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:556:pr_trigger_556,2023-10-18T22:24:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:636:pr_trigger_636,1970-01-01T00:00:00.000Z,005,Released,,
purchase_requisition:636:pr_trigger_636,2023-12-24T21:18:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:636:pr_trigger_636,2023-12-26T12:23:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:829:pr_trigger_829,1970-01-01T00:00:00.000Z,002,Released,,
purchase_requisition:829:pr_trigger_829,2024-07-03T14:26:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:2:pr_trigger_2,1970-01-01T00:00:00.000Z,005,Released,,
purchase_requisition:2:pr_trigger_2,2022-04-06T08:20:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:2:pr_trigger_2,2022-04-06T13:45:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:511:pr_trigger_511,1970-01-01T00:00:00.000Z,005,Released,,
purchase_requisition:511:pr_trigger_511,2023-08-31T05:56:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:511:pr_trigger_511,2023-08-31T18:00:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:106:pr_trigger_106,1970-01-01T00:00:00.000Z,004,Released,,
purchase_requisition:106:pr_trigger_106,2022-07-15T15:34:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:106:pr_trigger_106,2022-07-19T00:33:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:352:pr_trigger_352,1970-01-01T00:00:00.000Z,001,Released,,
purchase_requisition:352:pr_trigger_352,2023-03-23T08:51:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:352:pr_trigger_352,2023-03-27T07:44:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:307:pr_trigger_307,1970-01-01T00:00:00.000Z,004,Released,,
purchase_requisition:307:pr_trigger_307,2023-02-09T14:31:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:307:pr_trigger_307,2023-02-11T09:24:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:87:pr_trigger_87,1970-01-01T00:00:00.000Z,004,Released,,
purchase_requisition:87:pr_trigger_87,2022-06-20T04:52:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:87:pr_trigger_87,2022-06-30T10:24:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:22:pr_trigger_22,1970-01-01T00:00:00.000Z,002,Released,,
purchase_requisition:22:pr_trigger_22,2022-04-26T08:48:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:22:pr_trigger_22,2022-04-26T14:26:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:449:pr_trigger_449,1970-01-01T00:00:00.000Z,003,Released,,
purchase_requisition:449:pr_trigger_449,2023-07-05T20:36:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:449:pr_trigger_449,2023-07-06T18:23:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:195:pr_trigger_195,1970-01-01T00:00:00.000Z,001,Released,,
purchase_requisition:195:pr_trigger_195,2022-09-20T07:20:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:195:pr_trigger_195,2022-09-23T00:19:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:33:pr_trigger_33,1970-01-01T00:00:00.000Z,003,Released,,
purchase_requisition:33:pr_trigger_33,2022-04-30T13:20:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:33:pr_trigger_33,2022-05-03T20:45:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:729:pr_trigger_729,1970-01-01T00:00:00.000Z,002,Released,,
purchase_requisition:729:pr_trigger_729,2024-03-28T20:46:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:165:pr_trigger_165,1970-01-01T00:00:00.000Z,001,Released,,
purchase_requisition:165:pr_trigger_165,2022-08-29T17:24:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:165:pr_trigger_165,2022-09-01T23:25:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:279:pr_trigger_279,1970-01-01T00:00:00.000Z,005,Released,,
purchase_requisition:279:pr_trigger_279,2023-01-12T23:44:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:599:pr_trigger_599,1970-01-01T00:00:00.000Z,001,Released,,
purchase_requisition:599:pr_trigger_599,2023-11-24T14:01:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:599:pr_trigger_599,2023-12-01T04:47:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:435:pr_trigger_435,1970-01-01T00:00:00.000Z,001,Released,,
purchase_requisition:435:pr_trigger_435,2023-06-27T05:40:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:208:pr_trigger_208,1970-01-01T00:00:00.000Z,003,Released,,
purchase_requisition:208:pr_trigger_208,2022-10-01T20:06:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:208:pr_trigger_208,2022-10-28T19:50:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:560:pr_trigger_560,1970-01-01T00:00:00.000Z,003,Released,,
purchase_requisition:560:pr_trigger_560,2023-10-23T11:06:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:560:pr_trigger_560,2023-10-28T16:32:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:487:pr_trigger_487,1970-01-01T00:00:00.000Z,003,Released,,
purchase_requisition:487:pr_trigger_487,2023-08-13T11:50:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:487:pr_trigger_487,2023-08-15T10:39:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:62:pr_trigger_62,1970-01-01T00:00:00.000Z,004,Released,,
purchase_requisition:62:pr_trigger_62,2022-05-26T00:50:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:202:pr_trigger_202,1970-01-01T00:00:00.000Z,005,Released,,
purchase_requisition:202:pr_trigger_202,2022-10-03T04:32:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:202:pr_trigger_202,2022-10-15T06:27:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:624:pr_trigger_624,1970-01-01T00:00:00.000Z,005,Released,,
purchase_requisition:624:pr_trigger_624,2023-12-24T03:44:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:624:pr_trigger_624,2023-12-27T00:02:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:94:pr_trigger_94,1970-01-01T00:00:00.000Z,002,Released,,
purchase_requisition:94:pr_trigger_94,2022-06-21T18:13:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:94:pr_trigger_94,2022-06-23T06:03:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:918:pr_trigger_918,1970-01-01T00:00:00.000Z,002,Released,,
purchase_requisition:918:pr_trigger_918,2024-09-24T12:59:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:387:pr_trigger_387,1970-01-01T00:00:00.000Z,002,Released,,
purchase_requisition:387:pr_trigger_387,2023-05-09T03:35:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:387:pr_trigger_387,2023-05-09T21:01:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:477:pr_trigger_477,1970-01-01T00:00:00.000Z,001,Released,,
purchase_requisition:477:pr_trigger_477,2023-07-29T20:16:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:838:pr_trigger_838,1970-01-01T00:00:00.000Z,004,Released,,
purchase_requisition:838:pr_trigger_838,2024-07-10T17:58:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:838:pr_trigger_838,2024-07-19T06:39:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:76:pr_trigger_76,1970-01-01T00:00:00.000Z,002,Released,,
purchase_requisition:76:pr_trigger_76,2022-06-13T01:02:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:76:pr_trigger_76,2022-06-16T21:24:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:280:pr_trigger_280,1970-01-01T00:00:00.000Z,002,Released,,
purchase_requisition:280:pr_trigger_280,2023-01-12T16:02:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:583:pr_trigger_583,1970-01-01T00:00:00.000Z,004,Released,,
purchase_requisition:583:pr_trigger_583,2023-11-18T22:44:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:583:pr_trigger_583,2023-11-23T07:51:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:351:pr_trigger_351,1970-01-01T00:00:00.000Z,001,Released,,
purchase_requisition:351:pr_trigger_351,2023-03-21T09:22:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:351:pr_trigger_351,2023-03-23T18:10:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:460:pr_trigger_460,1970-01-01T00:00:00.000Z,003,Released,,
purchase_requisition:460:pr_trigger_460,2023-07-17T19:17:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:74:pr_trigger_74,1970-01-01T00:00:00.000Z,004,Released,,
purchase_requisition:74:pr_trigger_74,2022-06-06T02:00:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:74:pr_trigger_74,2022-06-07T20:11:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:643:pr_trigger_643,1970-01-01T00:00:00.000Z,004,Released,,
purchase_requisition:643:pr_trigger_643,2024-01-09T23:29:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:643:pr_trigger_643,2024-01-24T11:33:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:894:pr_trigger_894,1970-01-01T00:00:00.000Z,004,Released,,
purchase_requisition:894:pr_trigger_894,2024-09-21T04:24:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:894:pr_trigger_894,2024-09-24T08:41:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:173:pr_trigger_173,1970-01-01T00:00:00.000Z,004,Released,,
purchase_requisition:173:pr_trigger_173,2022-09-10T10:21:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:35:pr_trigger_35,1970-01-01T00:00:00.000Z,003,Released,,
purchase_requisition:35:pr_trigger_35,2022-05-04T19:31:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:35:pr_trigger_35,2022-05-09T19:24:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:229:pr_trigger_229,1970-01-01T00:00:00.000Z,004,Released,,
purchase_requisition:229:pr_trigger_229,2022-11-08T18:56:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:229:pr_trigger_229,2022-11-15T22:15:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:190:pr_trigger_190,1970-01-01T00:00:00.000Z,004,Released,,
purchase_requisition:190:pr_trigger_190,2022-09-18T23:30:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:190:pr_trigger_190,2022-09-21T22:21:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:437:pr_trigger_437,1970-01-01T00:00:00.000Z,002,Released,,
purchase_requisition:437:pr_trigger_437,2023-06-27T21:08:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:437:pr_trigger_437,2023-06-29T06:07:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:538:pr_trigger_538,1970-01-01T00:00:00.000Z,001,Released,,
purchase_requisition:538:pr_trigger_538,2023-09-25T07:27:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:538:pr_trigger_538,2023-09-26T20:48:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:163:pr_trigger_163,1970-01-01T00:00:00.000Z,002,Released,,
purchase_requisition:163:pr_trigger_163,2022-09-03T09:40:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:163:pr_trigger_163,2022-09-14T14:55:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:803:pr_trigger_803,1970-01-01T00:00:00.000Z,001,Released,,
purchase_requisition:803:pr_trigger_803,2024-05-31T07:41:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:803:pr_trigger_803,2024-06-01T23:38:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:831:pr_trigger_831,1970-01-01T00:00:00.000Z,002,Released,,
purchase_requisition:831:pr_trigger_831,2024-07-02T18:00:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:811:pr_trigger_811,1970-01-01T00:00:00.000Z,002,Released,,
purchase_requisition:811:pr_trigger_811,2024-06-06T08:02:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:811:pr_trigger_811,2024-06-08T08:49:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:653:pr_trigger_653,1970-01-01T00:00:00.000Z,003,Released,,
purchase_requisition:653:pr_trigger_653,2024-01-15T19:34:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:457:pr_trigger_457,1970-01-01T00:00:00.000Z,004,Released,,
purchase_requisition:457:pr_trigger_457,2023-07-16T06:35:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:867:pr_trigger_867,1970-01-01T00:00:00.000Z,004,Released,,
purchase_requisition:867:pr_trigger_867,2024-08-21T12:15:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:867:pr_trigger_867,2024-08-23T01:19:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:182:pr_trigger_182,1970-01-01T00:00:00.000Z,001,Released,,
purchase_requisition:182:pr_trigger_182,2022-09-05T10:24:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:182:pr_trigger_182,2022-09-07T15:37:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:243:pr_trigger_243,1970-01-01T00:00:00.000Z,004,Released,,
purchase_requisition:243:pr_trigger_243,2022-11-24T15:24:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:243:pr_trigger_243,2022-11-24T16:43:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:657:pr_trigger_657,1970-01-01T00:00:00.000Z,005,Released,,
purchase_requisition:657:pr_trigger_657,2024-01-18T18:32:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:893:pr_trigger_893,1970-01-01T00:00:00.000Z,003,Released,,
purchase_requisition:893:pr_trigger_893,2024-09-12T02:41:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:893:pr_trigger_893,2024-09-18T22:00:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:506:pr_trigger_506,1970-01-01T00:00:00.000Z,004,Released,,
purchase_requisition:506:pr_trigger_506,2023-08-24T14:35:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:506:pr_trigger_506,2023-08-27T19:49:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:327:pr_trigger_327,1970-01-01T00:00:00.000Z,002,Released,,
purchase_requisition:327:pr_trigger_327,2023-03-01T21:32:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:327:pr_trigger_327,2023-03-13T18:06:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:616:pr_trigger_616,1970-01-01T00:00:00.000Z,002,Released,,
purchase_requisition:616:pr_trigger_616,2023-12-15T17:46:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:616:pr_trigger_616,2023-12-18T22:16:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:797:pr_trigger_797,1970-01-01T00:00:00.000Z,001,Released,,
purchase_requisition:797:pr_trigger_797,2024-05-29T23:37:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:743:pr_trigger_743,1970-01-01T00:00:00.000Z,005,Released,,
purchase_requisition:743:pr_trigger_743,2024-04-16T00:35:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:29:pr_trigger_29,1970-01-01T00:00:00.000Z,003,Released,,
purchase_requisition:29:pr_trigger_29,2022-04-29T07:24:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:29:pr_trigger_29,2022-04-30T15:52:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:153:pr_trigger_153,1970-01-01T00:00:00.000Z,003,Released,,
purchase_requisition:153:pr_trigger_153,2022-08-25T03:42:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:153:pr_trigger_153,2022-08-26T20:38:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:93:pr_trigger_93,1970-01-01T00:00:00.000Z,005,Released,,
purchase_requisition:93:pr_trigger_93,2022-06-23T14:49:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:909:pr_trigger_909,1970-01-01T00:00:00.000Z,004,Released,,
purchase_requisition:909:pr_trigger_909,2024-09-19T06:05:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:909:pr_trigger_909,2024-09-26T07:56:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:383:pr_trigger_383,1970-01-01T00:00:00.000Z,001,Released,,
purchase_requisition:383:pr_trigger_383,2023-05-02T07:24:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:383:pr_trigger_383,2023-05-06T15:52:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:851:pr_trigger_851,1970-01-01T00:00:00.000Z,003,Released,,
purchase_requisition:851:pr_trigger_851,2024-07-17T16:28:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:851:pr_trigger_851,2024-07-18T08:57:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:920:pr_trigger_920,1970-01-01T00:00:00.000Z,003,Released,,
purchase_requisition:920:pr_trigger_920,2024-09-28T03:53:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:920:pr_trigger_920,2024-10-01T20:18:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:634:pr_trigger_634,1970-01-01T00:00:00.000Z,004,Released,,
purchase_requisition:634:pr_trigger_634,2023-12-22T09:11:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:634:pr_trigger_634,2023-12-24T09:30:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:342:pr_trigger_342,1970-01-01T00:00:00.000Z,002,Released,,
purchase_requisition:342:pr_trigger_342,2023-03-14T19:36:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:342:pr_trigger_342,2023-03-18T14:34:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:26:pr_trigger_26,1970-01-01T00:00:00.000Z,002,Released,,
purchase_requisition:26:pr_trigger_26,2022-05-01T09:35:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:26:pr_trigger_26,2022-05-04T10:42:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:846:pr_trigger_846,1970-01-01T00:00:00.000Z,003,Released,,
purchase_requisition:846:pr_trigger_846,2024-07-10T19:11:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:414:pr_trigger_414,1970-01-01T00:00:00.000Z,003,Released,,
purchase_requisition:414:pr_trigger_414,2023-06-07T20:31:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:414:pr_trigger_414,2023-06-10T01:08:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:819:pr_trigger_819,1970-01-01T00:00:00.000Z,001,Released,,
purchase_requisition:819:pr_trigger_819,2024-06-17T09:44:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:819:pr_trigger_819,2024-06-19T10:43:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:372:pr_trigger_372,1970-01-01T00:00:00.000Z,005,Released,,
purchase_requisition:372:pr_trigger_372,2023-04-19T11:12:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:372:pr_trigger_372,2023-04-25T21:29:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:724:pr_trigger_724,1970-01-01T00:00:00.000Z,002,Released,,
purchase_requisition:724:pr_trigger_724,2024-03-26T18:45:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:724:pr_trigger_724,2024-03-27T22:53:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:549:pr_trigger_549,1970-01-01T00:00:00.000Z,002,Released,,
purchase_requisition:549:pr_trigger_549,2023-10-08T08:13:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:549:pr_trigger_549,2023-10-13T07:18:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:794:pr_trigger_794,1970-01-01T00:00:00.000Z,004,Released,,
purchase_requisition:794:pr_trigger_794,2024-05-25T21:42:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:635:pr_trigger_635,1970-01-01T00:00:00.000Z,004,Released,,
purchase_requisition:635:pr_trigger_635,2023-12-25T09:26:00.000Z,,,,ReleaseIndicatorEBANFRGZU
purchase_requisition:635:pr_trigger_635,2023-12-28T19:25:00.000Z,,,,ReleaseIndicatorEBANFRGZU
