ocel_id,ocel_time,NetPriceEKPONETPR,QuantityEKPOMENGE,DeliveryDateEKPOBEDAT,PlantEKPOWERKS,MaterialEKPOMATNR,StorageLocationEKPOLGORT,ocel_changed_field
material:1191,1970-01-01T00:00:00.000Z,450.0,62.0,2023-10-05 09:30:19.601781,5000,GLOVES_S,0004,
material:2205,1970-01-01T00:00:00.000Z,100.0,26.0,2023-10-12 09:30:30.646678,4000,BIKE_FRAME,0005,
material:2246,1970-01-01T00:00:00.000Z,1200.0,46.0,2023-10-17 09:30:31.086332,2000,WHEEL_HUB,0002,
material:233,1970-01-01T00:00:00.000Z,350.0,42.0,2023-10-26 09:30:11.675332,3000,PANTS_S,0001,
material:1897,1970-01-01T00:00:00.000Z,900.0,9.0,2023-10-06 09:30:26.704952,4000,MIRROR,0002,
material:1922,1970-01-01T00:00:00.000Z,950.0,54.0,2023-10-27 09:30:26.978942,2000,TIRE_28,0002,
material:1280,1970-01-01T00:00:00.000Z,1050.0,46.0,2023-10-17 09:30:20.271262,1000,TUBE_28,0003,
material:1892,1970-01-01T00:00:00.000Z,650.0,65.0,2023-10-11 09:30:26.627297,2000,SPEEDOMETER,0001,
material:1180,1970-01-01T00:00:00.000Z,250.0,3.0,2023-10-06 09:30:19.380150,4000,BIKE_RIM,0001,
material:1018,1970-01-01T00:00:00.000Z,500.0,49.0,2023-10-18 09:30:18.089873,1000,JACKET_S,0005,
material:1933,1970-01-01T00:00:00.000Z,1100.0,51.0,2023-10-17 09:30:26.999023,4000,SPOKE,0004,
material:1208,1970-01-01T00:00:00.000Z,350.0,24.0,2023-10-23 09:30:19.732999,1000,GLOVES_L,0003,
material:1986,1970-01-01T00:00:00.000Z,200.0,93.0,2023-10-13 09:30:27.660943,4000,BIKE_CHAIN,0005,
material:2027,1970-01-01T00:00:00.000Z,1100.0,85.0,2023-10-25 09:30:28.032061,1000,SPOKE,0003,
material:1601,1970-01-01T00:00:00.000Z,700.0,27.0,2023-10-14 09:30:23.484256,5000,PUMP,0005,
material:889,1970-01-01T00:00:00.000Z,950.0,39.0,2023-10-30 09:30:16.840712,4000,TIRE_28,0002,
material:963,1970-01-01T00:00:00.000Z,100.0,98.0,2023-10-19 09:30:17.618403,5000,BIKE_FRAME,0003,
material:1552,1970-01-01T00:00:00.000Z,1350.0,20.0,2023-10-24 09:30:22.850777,2000,SHIFT_LEVER,0003,
material:1412,1970-01-01T00:00:00.000Z,350.0,67.0,2023-10-07 09:30:21.756356,3000,HELMET_M,0001,
material:1516,1970-01-01T00:00:00.000Z,250.0,45.0,2023-10-27 09:30:22.466503,2000,BIKE_HANDLE,0005,
material:329,1970-01-01T00:00:00.000Z,1400.0,59.0,2023-10-09 09:30:12.539681,3000,CRANKSET,0004,
material:848,1970-01-01T00:00:00.000Z,900.0,99.0,2023-10-29 09:30:16.424941,4000,MIRROR,0002,
material:720,1970-01-01T00:00:00.000Z,1350.0,19.0,2023-10-06 09:30:15.576718,2000,SHIFT_LEVER,0001,
material:1618,1970-01-01T00:00:00.000Z,350.0,74.0,2023-10-18 09:30:23.753717,2000,GLOVES_L,0003,
material:1567,1970-01-01T00:00:00.000Z,350.0,82.0,2023-10-27 09:30:23.075254,2000,PANTS_S,0002,
material:550,1970-01-01T00:00:00.000Z,600.0,71.0,2023-10-31 09:30:14.224523,4000,JACKET_L,0001,
material:1423,1970-01-01T00:00:00.000Z,1500.0,76.0,2023-10-03 09:30:21.821116,5000,CABLE,0001,
material:160,1970-01-01T00:00:00.000Z,1000.0,59.0,2023-10-18 09:30:11.233163,4000,TIRE_26,0001,
material:1281,1970-01-01T00:00:00.000Z,1100.0,68.0,2023-10-27 09:30:20.271267,3000,SPOKE,0002,
material:1484,1970-01-01T00:00:00.000Z,1250.0,44.0,2023-10-05 09:30:22.287686,2000,CASSETTE,0001,
material:2147,1970-01-01T00:00:00.000Z,600.0,80.0,2023-10-11 09:30:29.953686,5000,JACKET_L,0001,
material:884,1970-01-01T00:00:00.000Z,1500.0,88.0,2023-10-17 09:30:16.796218,3000,PEDAL,0005,
material:662,1970-01-01T00:00:00.000Z,700.0,31.0,2023-10-25 09:30:15.190909,2000,PUMP,0003,
material:2102,1970-01-01T00:00:00.000Z,400.0,69.0,2023-10-14 09:30:29.042458,2000,HELMET_S,0003,
material:630,1970-01-01T00:00:00.000Z,650.0,66.0,2023-10-08 09:30:14.983549,3000,LOCK,0005,
material:1268,1970-01-01T00:00:00.000Z,500.0,31.0,2023-10-20 09:30:20.183876,3000,JACKET_S,0003,
material:2286,1970-01-01T00:00:00.000Z,500.0,55.0,2023-10-12 09:30:31.651846,4000,JACKET_S,0005,
material:1899,1970-01-01T00:00:00.000Z,700.0,18.0,2023-10-05 09:30:26.719278,1000,PUMP,0005,
material:2045,1970-01-01T00:00:00.000Z,750.0,73.0,2023-10-28 09:30:28.628115,2000,PEDAL_STRAP,0004,
material:1292,1970-01-01T00:00:00.000Z,1250.0,16.0,2023-10-21 09:30:20.321892,4000,BRAKE_LEVER,0004,
material:221,1970-01-01T00:00:00.000Z,600.0,94.0,2023-10-30 09:30:11.618969,5000,JACKET_L,0004,
material:229,1970-01-01T00:00:00.000Z,650.0,61.0,2023-10-29 09:30:11.661110,5000,LOCK,0001,
material:2129,1970-01-01T00:00:00.000Z,200.0,88.0,2023-10-26 09:30:29.586524,3000,BIKE_WHEEL,0004,
material:1949,1970-01-01T00:00:00.000Z,200.0,7.0,2023-10-13 09:30:27.264216,4000,BIKE_SPOKE,0002,
material:1218,1970-01-01T00:00:00.000Z,150.0,89.0,2023-10-12 09:30:19.777581,2000,BIKE_BRAKE,0005,
material:1365,1970-01-01T00:00:00.000Z,1050.0,89.0,2023-10-13 09:30:21.278454,2000,TUBE_28,0001,
material:983,1970-01-01T00:00:00.000Z,1050.0,35.0,2023-10-31 09:30:17.804878,2000,TUBE_28,0004,
material:526,1970-01-01T00:00:00.000Z,600.0,37.0,2023-10-07 09:30:13.974657,2000,JACKET_L,0005,
material:145,1970-01-01T00:00:00.000Z,950.0,44.0,2023-10-24 09:30:11.127768,4000,HUB_BEARING,0001,
material:2109,1970-01-01T00:00:00.000Z,650.0,36.0,2023-10-29 09:30:29.122994,4000,LOCK,0002,
material:1730,1970-01-01T00:00:00.000Z,650.0,15.0,2023-10-08 09:30:24.905583,3000,LOCK,0002,
material:1444,1970-01-01T00:00:00.000Z,1350.0,41.0,2023-10-28 09:30:21.971311,2000,SHIFT_LEVER,0002,
material:180,1970-01-01T00:00:00.000Z,350.0,91.0,2023-10-19 09:30:11.370993,2000,HELMET_M,0001,
material:112,1970-01-01T00:00:00.000Z,750.0,17.0,2023-10-27 09:30:10.981448,3000,PEDAL_STRAP,0001,
material:945,1970-01-01T00:00:00.000Z,200.0,44.0,2023-10-31 09:30:17.503329,4000,BIKE_WHEEL,0002,
material:85,1970-01-01T00:00:00.000Z,200.0,2.0,2023-10-04 09:30:10.712323,1000,BIKE_WHEEL,0003,
material:1779,1970-01-01T00:00:00.000Z,700.0,98.0,2023-10-19 09:30:25.335593,2000,PUMP,0001,
material:2111,1970-01-01T00:00:00.000Z,800.0,36.0,2023-10-17 09:30:29.123002,1000,WATER_BOTTLE,0001,
material:779,1970-01-01T00:00:00.000Z,650.0,88.0,2023-10-09 09:30:15.967224,4000,LOCK,0001,
material:119,1970-01-01T00:00:00.000Z,200.0,13.0,2023-11-01 09:30:11.020233,5000,BIKE_WHEEL,0001,
material:281,1970-01-01T00:00:00.000Z,500.0,26.0,2023-11-01 09:30:12.116979,1000,JACKET_S,0005,
material:411,1970-01-01T00:00:00.000Z,900.0,82.0,2023-10-09 09:30:13.047792,1000,MIRROR,0004,
material:1541,1970-01-01T00:00:00.000Z,1350.0,60.0,2023-10-16 09:30:22.754597,2000,SHIFT_LEVER,0002,
material:460,1970-01-01T00:00:00.000Z,150.0,46.0,2023-10-25 09:30:13.525503,5000,BIKE_BRAKE,0001,
material:1744,1970-01-01T00:00:00.000Z,600.0,88.0,2023-10-30 09:30:25.011096,4000,GLOVES_M,0003,
material:306,1970-01-01T00:00:00.000Z,1400.0,26.0,2023-10-10 09:30:12.391537,1000,CRANKSET,0001,
material:2073,1970-01-01T00:00:00.000Z,1050.0,88.0,2023-10-13 09:30:28.899903,1000,NIPPLE,0001,
material:1776,1970-01-01T00:00:00.000Z,800.0,34.0,2023-10-19 09:30:25.335570,2000,LIGHT_FRONT,0001,
material:1335,1970-01-01T00:00:00.000Z,200.0,92.0,2023-10-18 09:30:20.927332,3000,BIKE_SPOKE,0005,
material:459,1970-01-01T00:00:00.000Z,300.0,62.0,2023-10-11 09:30:13.525483,3000,BIKE_PEDAL,0004,
material:968,1970-01-01T00:00:00.000Z,450.0,36.0,2023-10-30 09:30:17.649949,1000,JACKET_M,0001,
material:1867,1970-01-01T00:00:00.000Z,650.0,72.0,2023-11-01 09:30:26.361614,2000,BOTTLE_CAGE,0005,
material:1784,1970-01-01T00:00:00.000Z,1500.0,7.0,2023-10-24 09:30:25.556456,4000,PEDAL,0004,
material:1940,1970-01-01T00:00:00.000Z,400.0,67.0,2023-10-24 09:30:27.137691,1000,HELMET_S,0003,
material:124,1970-01-01T00:00:00.000Z,1000.0,12.0,2023-10-04 09:30:11.023218,1000,TIRE_26,0003,
material:404,1970-01-01T00:00:00.000Z,950.0,43.0,2023-10-25 09:30:13.030179,1000,TIRE_28,0003,
material:177,1970-01-01T00:00:00.000Z,500.0,76.0,2023-10-03 09:30:11.350546,3000,JACKET_S,0002,
material:544,1970-01-01T00:00:00.000Z,1350.0,80.0,2023-10-11 09:30:14.172541,1000,BOTTOM_BRACKET,0004,
material:1010,1970-01-01T00:00:00.000Z,500.0,77.0,2023-10-24 09:30:17.997423,2000,HELMET_L,0005,
material:1976,1970-01-01T00:00:00.000Z,950.0,20.0,2023-11-01 09:30:27.534743,5000,RIM_TAPE,0004,
material:1372,1970-01-01T00:00:00.000Z,1500.0,27.0,2023-10-31 09:30:21.360774,4000,PEDAL,0003,
material:302,1970-01-01T00:00:00.000Z,900.0,69.0,2023-10-17 09:30:12.240632,2000,BIKE_BELL,0005,
material:1455,1970-01-01T00:00:00.000Z,350.0,95.0,2023-10-25 09:30:22.048797,3000,PANTS_S,0001,
material:1373,1970-01-01T00:00:00.000Z,1250.0,90.0,2023-10-05 09:30:21.360778,2000,BRAKE_LEVER,0003,
material:46,1970-01-01T00:00:00.000Z,350.0,92.0,2023-10-14 09:30:10.430093,1000,PANTS_S,0001,
material:556,1970-01-01T00:00:00.000Z,1100.0,46.0,2023-10-20 09:30:14.286429,5000,SPOKE,0003,
material:2156,1970-01-01T00:00:00.000Z,150.0,18.0,2023-10-31 09:30:30.271882,4000,BIKE_SEAT,0003,
material:624,1970-01-01T00:00:00.000Z,900.0,43.0,2023-10-27 09:30:14.943432,4000,BIKE_BELL,0001,
material:1682,1970-01-01T00:00:00.000Z,1350.0,16.0,2023-11-01 09:30:24.378566,1000,SHIFT_LEVER,0004,
material:36,1970-01-01T00:00:00.000Z,1200.0,18.0,2023-10-14 09:30:10.305463,3000,VALVE,0005,
material:1895,1970-01-01T00:00:00.000Z,250.0,56.0,2023-10-16 09:30:26.678937,3000,BIKE_RIM,0005,
material:348,1970-01-01T00:00:00.000Z,1400.0,23.0,2023-10-11 09:30:12.595803,2000,DERAILLEUR,0001,
material:141,1970-01-01T00:00:00.000Z,250.0,84.0,2023-10-28 09:30:11.115000,2000,BIKE_HANDLE,0002,
material:2168,1970-01-01T00:00:00.000Z,1350.0,76.0,2023-10-25 09:30:30.374837,5000,BOTTOM_BRACKET,0003,
material:1959,1970-01-01T00:00:00.000Z,650.0,12.0,2023-10-26 09:30:27.326035,1000,SPEEDOMETER,0003,
material:1459,1970-01-01T00:00:00.000Z,650.0,59.0,2023-10-31 09:30:22.054530,4000,LOCK,0002,
material:1469,1970-01-01T00:00:00.000Z,1400.0,62.0,2023-10-10 09:30:22.127760,3000,DERAILLEUR,0004,
material:680,1970-01-01T00:00:00.000Z,400.0,50.0,2023-10-22 09:30:15.329022,1000,HELMET_S,0002,
material:938,1970-01-01T00:00:00.000Z,250.0,40.0,2023-10-11 09:30:17.501393,5000,BIKE_HANDLE,0005,
material:1957,1970-01-01T00:00:00.000Z,750.0,88.0,2023-10-10 09:30:27.326020,1000,PEDAL_STRAP,0003,
material:76,1970-01-01T00:00:00.000Z,1200.0,81.0,2023-10-12 09:30:10.649283,3000,WHEEL_HUB,0005,
material:1133,1970-01-01T00:00:00.000Z,1400.0,97.0,2023-10-24 09:30:19.059530,3000,DERAILLEUR,0004,
material:552,1970-01-01T00:00:00.000Z,1050.0,100.0,2023-10-31 09:30:14.259364,2000,TUBE_28,0001,
material:1071,1970-01-01T00:00:00.000Z,1500.0,33.0,2023-10-14 09:30:18.565959,2000,PEDAL,0002,
material:2250,1970-01-01T00:00:00.000Z,1100.0,11.0,2023-10-31 09:30:31.127654,5000,SPOKE,0004,
material:601,1970-01-01T00:00:00.000Z,950.0,42.0,2023-10-06 09:30:14.791861,3000,TIRE_28,0001,
material:2213,1970-01-01T00:00:00.000Z,1300.0,68.0,2023-10-30 09:30:30.731554,5000,CHAINRING,0003,
material:1467,1970-01-01T00:00:00.000Z,200.0,86.0,2023-10-27 09:30:22.123103,2000,BIKE_SPOKE,0002,
material:258,1970-01-01T00:00:00.000Z,1100.0,2.0,2023-10-06 09:30:11.937306,1000,SPOKE,0005,
material:2086,1970-01-01T00:00:00.000Z,1250.0,66.0,2023-10-23 09:30:28.953393,2000,CASSETTE,0004,
material:1198,1970-01-01T00:00:00.000Z,650.0,58.0,2023-10-24 09:30:19.669140,1000,LOCK,0003,
material:252,1970-01-01T00:00:00.000Z,1200.0,18.0,2023-11-01 09:30:11.907734,5000,WHEEL_HUB,0002,
material:1155,1970-01-01T00:00:00.000Z,400.0,22.0,2023-10-10 09:30:19.183943,3000,HELMET_S,0001,
material:863,1970-01-01T00:00:00.000Z,200.0,16.0,2023-10-15 09:30:16.684953,1000,BIKE_WHEEL,0004,
material:202,1970-01-01T00:00:00.000Z,1100.0,68.0,2023-10-24 09:30:11.557822,1000,TUBE_26,0004,
material:5,1970-01-01T00:00:00.000Z,200.0,78.0,2023-10-10 09:30:10.243421,1000,BIKE_SPOKE,0005,
material:700,1970-01-01T00:00:00.000Z,900.0,45.0,2023-10-14 09:30:15.500840,1000,MIRROR,0005,
material:947,1970-01-01T00:00:00.000Z,200.0,80.0,2023-10-18 09:30:17.504637,5000,BIKE_WHEEL,0005,
material:296,1970-01-01T00:00:00.000Z,1200.0,10.0,2023-10-05 09:30:12.155367,4000,VALVE,0003,
material:993,1970-01-01T00:00:00.000Z,600.0,19.0,2023-10-06 09:30:17.915106,5000,GLOVES_M,0005,
material:1790,1970-01-01T00:00:00.000Z,750.0,1.0,2023-10-22 09:30:25.675197,1000,PEDAL_STRAP,0005,
material:128,1970-01-01T00:00:00.000Z,1400.0,54.0,2023-10-05 09:30:11.028037,4000,DERAILLEUR,0002,
material:431,1970-01-01T00:00:00.000Z,300.0,97.0,2023-10-20 09:30:13.131744,3000,BIKE_PEDAL,0001,
material:346,1970-01-01T00:00:00.000Z,800.0,10.0,2023-10-12 09:30:12.593974,1000,WATER_BOTTLE,0004,
material:535,1970-01-01T00:00:00.000Z,1250.0,18.0,2023-10-24 09:30:14.044589,3000,CASSETTE,0004,
material:1582,1970-01-01T00:00:00.000Z,200.0,89.0,2023-10-30 09:30:23.161037,1000,BIKE_SPOKE,0005,
material:1514,1970-01-01T00:00:00.000Z,200.0,64.0,2023-10-03 09:30:22.466490,2000,BIKE_CHAIN,0001,
material:2071,1970-01-01T00:00:00.000Z,1100.0,97.0,2023-10-29 09:30:28.899888,1000,SPOKE,0002,
material:290,1970-01-01T00:00:00.000Z,300.0,1.0,2023-10-24 09:30:12.145530,4000,BIKE_FORK,0005,
material:1011,1970-01-01T00:00:00.000Z,450.0,29.0,2023-10-25 09:30:17.997432,5000,JACKET_M,0002,
material:2100,1970-01-01T00:00:00.000Z,600.0,11.0,2023-10-07 09:30:29.042441,2000,GLOVES_M,0005,
material:491,1970-01-01T00:00:00.000Z,400.0,34.0,2023-10-21 09:30:13.786426,4000,HELMET_S,0001,
material:1411,1970-01-01T00:00:00.000Z,200.0,71.0,2023-10-19 09:30:21.657733,4000,BIKE_WHEEL,0005,
material:1332,1970-01-01T00:00:00.000Z,950.0,55.0,2023-10-23 09:30:20.785019,1000,RIM_TAPE,0003,
material:992,1970-01-01T00:00:00.000Z,200.0,73.0,2023-10-11 09:30:17.913157,2000,BIKE_SPOKE,0002,
material:1742,1970-01-01T00:00:00.000Z,200.0,5.0,2023-10-19 09:30:24.994362,4000,BIKE_WHEEL,0004,
material:1118,1970-01-01T00:00:00.000Z,1200.0,60.0,2023-10-31 09:30:18.913744,3000,WHEEL_HUB,0001,
material:117,1970-01-01T00:00:00.000Z,500.0,51.0,2023-10-20 09:30:11.014381,3000,HELMET_L,0004,
material:1105,1970-01-01T00:00:00.000Z,1200.0,75.0,2023-10-29 09:30:18.872594,4000,VALVE,0005,
material:1821,1970-01-01T00:00:00.000Z,400.0,67.0,2023-10-22 09:30:25.985008,2000,HELMET_S,0002,
material:2193,1970-01-01T00:00:00.000Z,450.0,49.0,2023-10-10 09:30:30.561359,5000,JACKET_M,0003,
material:643,1970-01-01T00:00:00.000Z,750.0,30.0,2023-10-22 09:30:15.039968,2000,LIGHT_REAR,0002,
material:1081,1970-01-01T00:00:00.000Z,1200.0,32.0,2023-10-23 09:30:18.600570,4000,WHEEL_HUB,0003,
material:140,1970-01-01T00:00:00.000Z,1200.0,15.0,2023-10-15 09:30:11.088975,3000,VALVE,0005,
material:1040,1970-01-01T00:00:00.000Z,1500.0,19.0,2023-10-04 09:30:18.293943,1000,PEDAL,0002,
material:1571,1970-01-01T00:00:00.000Z,1100.0,18.0,2023-10-25 09:30:23.121158,1000,TUBE_26,0003,
material:868,1970-01-01T00:00:00.000Z,250.0,69.0,2023-10-30 09:30:16.716278,2000,BIKE_RIM,0005,
material:363,1970-01-01T00:00:00.000Z,1250.0,29.0,2023-10-17 09:30:12.739281,1000,BRAKE_LEVER,0001,
material:1888,1970-01-01T00:00:00.000Z,950.0,15.0,2023-10-07 09:30:26.619647,1000,RIM_TAPE,0004,
material:1296,1970-01-01T00:00:00.000Z,750.0,18.0,2023-10-29 09:30:20.328223,1000,LIGHT_REAR,0004,
material:2047,1970-01-01T00:00:00.000Z,650.0,73.0,2023-10-26 09:30:28.693156,5000,SPEEDOMETER,0005,
material:369,1970-01-01T00:00:00.000Z,600.0,51.0,2023-10-28 09:30:12.835214,1000,GLOVES_M,0005,
material:1112,1970-01-01T00:00:00.000Z,950.0,39.0,2023-10-17 09:30:18.905223,4000,HUB_BEARING,0001,
material:139,1970-01-01T00:00:00.000Z,1100.0,91.0,2023-10-03 09:30:11.087043,4000,SPOKE,0001,
material:1530,1970-01-01T00:00:00.000Z,450.0,2.0,2023-10-27 09:30:22.650979,1000,GLOVES_S,0004,
material:1622,1970-01-01T00:00:00.000Z,1500.0,91.0,2023-10-12 09:30:23.864882,3000,PEDAL,0005,
material:1055,1970-01-01T00:00:00.000Z,150.0,47.0,2023-10-12 09:30:18.424391,3000,BIKE_BRAKE,0003,
material:67,1970-01-01T00:00:00.000Z,350.0,63.0,2023-10-28 09:30:10.534836,4000,GLOVES_L,0005,
material:2284,1970-01-01T00:00:00.000Z,650.0,71.0,2023-10-10 09:30:31.562211,2000,LOCK,0001,
material:2240,1970-01-01T00:00:00.000Z,1500.0,43.0,2023-10-10 09:30:31.072370,2000,PEDAL,0004,
material:164,1970-01-01T00:00:00.000Z,700.0,81.0,2023-10-23 09:30:11.238042,1000,PUMP,0004,
material:320,1970-01-01T00:00:00.000Z,900.0,91.0,2023-10-23 09:30:12.479302,2000,MIRROR,0002,
material:475,1970-01-01T00:00:00.000Z,750.0,42.0,2023-10-07 09:30:13.639017,4000,LIGHT_REAR,0004,
material:105,1970-01-01T00:00:00.000Z,600.0,84.0,2023-10-19 09:30:10.893668,4000,GLOVES_M,0002,
material:1495,1970-01-01T00:00:00.000Z,200.0,75.0,2023-10-09 09:30:22.353686,1000,BIKE_CHAIN,0001,
material:1231,1970-01-01T00:00:00.000Z,350.0,41.0,2023-10-29 09:30:19.855497,1000,HELMET_M,0003,
material:2077,1970-01-01T00:00:00.000Z,300.0,72.0,2023-10-16 09:30:28.910463,3000,BIKE_PEDAL,0002,
material:1442,1970-01-01T00:00:00.000Z,1250.0,100.0,2023-10-17 09:30:21.919742,5000,BRAKE_LEVER,0002,
material:396,1970-01-01T00:00:00.000Z,1250.0,67.0,2023-10-30 09:30:12.994646,1000,BRAKE_LEVER,0005,
material:878,1970-01-01T00:00:00.000Z,100.0,60.0,2023-10-04 09:30:16.779619,5000,BIKE_FRAME,0002,
material:485,1970-01-01T00:00:00.000Z,1500.0,75.0,2023-10-07 09:30:13.759501,5000,CABLE,0002,
material:1816,1970-01-01T00:00:00.000Z,1500.0,32.0,2023-10-12 09:30:25.877565,4000,PEDAL,0001,
material:4,1970-01-01T00:00:00.000Z,150.0,86.0,2023-10-14 09:30:10.243409,4000,BIKE_BRAKE,0001,
material:99,1970-01-01T00:00:00.000Z,1500.0,81.0,2023-10-15 09:30:10.861778,5000,PEDAL,0002,
