ocel_id,ocel_time,CreditAmountBSEGWRBTR,DebitAmountBSEGDMBTR,PaymentBlockRSEGZLSPR,new_value,ocel_changed_field
invoice receipt:1285,2023-12-29T06:29:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:1285,2023-12-29T06:29:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:1285,2023-12-29T06:29:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1285,2023-12-29T08:10:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1285,2023-12-30T02:59:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:1285,2023-12-30T02:59:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:1285,2023-12-30T02:59:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1285,2024-01-01T08:10:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:702,1970-01-01T00:00:00.000Z,33800.0,33800.0,,,
invoice receipt:702,2023-03-24T10:20:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:702,2023-03-24T10:20:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:702,2023-03-24T10:20:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:702,2023-03-24T10:30:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:702,2023-03-25T02:59:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:702,2023-03-25T02:59:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:702,2023-03-25T02:59:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:702,2023-03-27T07:10:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:702,2023-03-27T15:19:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:702,2023-03-27T15:19:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:702,2023-03-27T15:19:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:702,2023-03-28T07:10:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1037,1970-01-01T00:00:00.000Z,27100.0,27100.0,,,
invoice receipt:1037,2023-09-11T07:34:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:1037,2023-09-11T07:34:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:1037,2023-09-11T07:34:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1037,2023-09-11T07:44:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1037,2023-09-11T08:21:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:1037,2023-09-11T08:21:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:1037,2023-09-11T08:21:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1037,2023-09-11T08:31:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1037,2023-09-12T17:54:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:1037,2023-09-12T17:54:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:1037,2023-09-12T17:54:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1037,2023-09-13T07:10:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1923,1970-01-01T00:00:00.000Z,3750.0,3750.0,,,
invoice receipt:1923,2024-10-07T18:19:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:1923,2024-10-07T18:19:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:1923,2024-10-07T18:19:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1923,2024-10-07T19:28:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:1923,2024-10-07T19:28:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:1923,2024-10-07T19:28:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1923,2024-10-08T07:10:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1923,2024-10-08T07:10:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:961,1970-01-01T00:00:00.000Z,16250.0,16250.0,,,
invoice receipt:961,2023-08-07T11:46:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:961,2023-08-07T11:46:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:961,2023-08-07T11:46:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:961,2023-08-07T11:56:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:27,1970-01-01T00:00:00.000Z,115600.0,115600.0,,,
invoice receipt:27,2022-05-02T19:08:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:27,2022-05-02T19:08:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:27,2022-05-02T19:08:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:27,2022-05-03T06:57:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:27,2022-05-03T06:57:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:27,2022-05-03T06:57:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:27,2022-05-03T07:10:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:27,2022-05-03T07:10:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:27,2022-05-04T06:04:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:27,2022-05-04T06:04:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:27,2022-05-04T06:04:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:27,2022-05-04T07:10:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1185,1970-01-01T00:00:00.000Z,46500.0,46500.0,,,
invoice receipt:1185,2023-11-22T01:36:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:1185,2023-11-22T01:36:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:1185,2023-11-22T01:36:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1185,2023-11-22T08:10:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1185,2023-11-22T13:53:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:1185,2023-11-22T13:53:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:1185,2023-11-22T13:53:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1185,2023-11-22T14:03:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:250,1970-01-01T00:00:00.000Z,142500.0,142500.0,,,
invoice receipt:250,2022-08-12T18:16:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:250,2022-08-12T18:16:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:250,2022-08-12T18:16:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:250,2022-08-15T07:10:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:276,1970-01-01T00:00:00.000Z,3600.0,3600.0,,,
invoice receipt:276,2022-08-23T20:10:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:276,2022-08-23T20:10:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:276,2022-08-23T20:10:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:276,2022-08-24T07:10:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1563,1970-01-01T00:00:00.000Z,79200.0,79200.0,,,
invoice receipt:1563,2024-05-06T09:54:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:1563,2024-05-06T09:54:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:1563,2024-05-06T09:54:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1563,2024-05-06T10:04:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:96,1970-01-01T00:00:00.000Z,55500.0,55500.0,,,
invoice receipt:96,2022-06-02T18:29:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:96,2022-06-02T18:29:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:96,2022-06-02T18:29:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:96,2022-06-03T07:10:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1112,1970-01-01T00:00:00.000Z,139750.0,139750.0,,,
invoice receipt:1112,2023-10-09T11:57:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:1112,2023-10-09T11:57:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:1112,2023-10-09T11:57:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1112,2023-10-09T12:07:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:904,1970-01-01T00:00:00.000Z,181050.0,181050.0,,,
invoice receipt:904,2023-07-09T11:19:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:904,2023-07-09T11:19:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:904,2023-07-09T11:19:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:904,2023-07-10T04:45:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:904,2023-07-10T04:45:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:904,2023-07-10T04:45:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:904,2023-07-10T07:10:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:904,2023-07-10T07:10:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1867,1970-01-01T00:00:00.000Z,28350.0,28350.0,,,
invoice receipt:1867,2024-09-20T02:20:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:1867,2024-09-20T02:20:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:1867,2024-09-20T02:20:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1867,2024-09-20T07:10:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1867,2024-09-21T10:52:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:1867,2024-09-21T10:52:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:1867,2024-09-21T10:52:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1867,2024-09-23T07:10:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:219,1970-01-01T00:00:00.000Z,9800.0,9800.0,,,
invoice receipt:219,2022-07-27T09:16:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:219,2022-07-27T09:16:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:219,2022-07-27T09:16:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:219,2022-07-27T09:26:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:219,2022-07-27T12:17:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:219,2022-07-27T12:17:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:219,2022-07-27T12:17:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:219,2022-07-27T12:27:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:219,2022-07-27T21:23:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:219,2022-07-27T21:23:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:219,2022-07-27T21:23:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:219,2022-07-27T21:32:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:219,2022-07-27T21:32:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:219,2022-07-27T21:32:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:219,2022-07-28T07:10:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:219,2022-07-28T07:10:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1047,1970-01-01T00:00:00.000Z,126750.0,126750.0,,,
invoice receipt:1047,2023-09-12T10:12:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:1047,2023-09-12T10:12:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:1047,2023-09-12T10:12:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1047,2023-09-12T10:22:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1047,2023-09-13T14:44:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:1047,2023-09-13T14:44:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:1047,2023-09-13T14:44:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1047,2023-09-13T14:54:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:335,1970-01-01T00:00:00.000Z,75600.0,75600.0,,,
invoice receipt:335,2022-09-15T21:05:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:335,2022-09-15T21:05:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:335,2022-09-15T21:05:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:335,2022-09-16T03:36:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:335,2022-09-16T03:36:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:335,2022-09-16T03:36:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:335,2022-09-16T07:10:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:335,2022-09-16T07:10:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1864,1970-01-01T00:00:00.000Z,126600.0,126600.0,,,
invoice receipt:1864,2024-09-19T22:28:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:1864,2024-09-19T22:28:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:1864,2024-09-19T22:28:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1864,2024-09-19T23:51:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:1864,2024-09-19T23:51:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:1864,2024-09-19T23:51:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1864,2024-09-20T07:10:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1864,2024-09-20T07:10:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:699,1970-01-01T00:00:00.000Z,44400.0,44400.0,,,
invoice receipt:699,2023-03-25T07:27:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:699,2023-03-25T07:27:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:699,2023-03-25T07:27:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:699,2023-03-25T21:26:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:699,2023-03-25T21:26:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:699,2023-03-25T21:26:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:699,2023-03-27T07:10:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:699,2023-03-27T07:10:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:931,1970-01-01T00:00:00.000Z,83000.0,83000.0,,,
invoice receipt:931,2023-07-24T09:08:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:931,2023-07-24T09:08:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:931,2023-07-24T09:08:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:931,2023-07-24T09:18:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:931,2023-07-24T10:28:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:931,2023-07-24T10:28:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:931,2023-07-24T10:28:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:931,2023-07-24T10:38:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1608,1970-01-01T00:00:00.000Z,22200.0,22200.0,,,
invoice receipt:1608,2024-05-22T16:31:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:1608,2024-05-22T16:31:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:1608,2024-05-22T16:31:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1608,2024-05-23T07:10:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1608,2024-05-23T23:09:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:1608,2024-05-23T23:09:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:1608,2024-05-23T23:09:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1608,2024-05-24T07:10:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1909,1970-01-01T00:00:00.000Z,37200.0,37200.0,,,
invoice receipt:1909,2024-10-04T12:26:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:1909,2024-10-04T12:26:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:1909,2024-10-04T12:26:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1909,2024-10-04T12:36:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1909,2024-10-07T19:47:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:1909,2024-10-07T19:47:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:1909,2024-10-07T19:47:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1909,2024-10-08T07:10:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:511,1970-01-01T00:00:00.000Z,75600.0,75600.0,,,
invoice receipt:511,2022-12-29T07:37:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:511,2022-12-29T07:37:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:511,2022-12-29T07:37:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:511,2022-12-29T08:10:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:715,1970-01-01T00:00:00.000Z,115500.0,115500.0,,,
invoice receipt:715,2023-04-05T20:10:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:715,2023-04-05T20:10:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:715,2023-04-05T20:10:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:715,2023-04-06T07:10:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1255,1970-01-01T00:00:00.000Z,40300.0,40300.0,,,
invoice receipt:1255,2023-12-12T14:37:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:1255,2023-12-12T14:37:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:1255,2023-12-12T14:37:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1255,2023-12-12T14:47:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1255,2023-12-12T14:53:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:1255,2023-12-12T14:53:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:1255,2023-12-12T14:53:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1255,2023-12-12T15:03:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1255,2023-12-13T22:52:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:1255,2023-12-13T22:52:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:1255,2023-12-13T22:52:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1255,2023-12-14T08:10:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1255,2023-12-14T17:28:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:1255,2023-12-14T17:28:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:1255,2023-12-14T17:28:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1255,2023-12-15T08:10:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1019,1970-01-01T00:00:00.000Z,85050.0,85050.0,,,
invoice receipt:1019,2023-09-04T11:24:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:1019,2023-09-04T11:24:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:1019,2023-09-04T11:24:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1019,2023-09-04T11:34:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1019,2023-09-07T06:38:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:1019,2023-09-07T06:38:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:1019,2023-09-07T06:38:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1019,2023-09-07T07:10:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1417,1970-01-01T00:00:00.000Z,12600.0,12600.0,,,
invoice receipt:1417,2024-02-20T20:38:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:1417,2024-02-20T20:38:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:1417,2024-02-20T20:38:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1417,2024-02-20T23:42:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:1417,2024-02-20T23:42:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:1417,2024-02-20T23:42:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1417,2024-02-20T23:47:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:1417,2024-02-20T23:47:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:1417,2024-02-20T23:47:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1417,2024-02-21T06:52:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:1417,2024-02-21T06:52:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:1417,2024-02-21T06:52:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1417,2024-02-21T08:10:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1417,2024-02-21T08:10:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1417,2024-02-21T08:10:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1417,2024-02-21T08:10:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1204,1970-01-01T00:00:00.000Z,11700.0,11700.0,,,
invoice receipt:1204,2023-11-27T16:33:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:1204,2023-11-27T16:33:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:1204,2023-11-27T16:33:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:1204,2023-11-28T08:10:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:546,1970-01-01T00:00:00.000Z,68200.0,68200.0,,,
invoice receipt:546,2023-01-16T10:44:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:546,2023-01-16T10:44:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:546,2023-01-16T10:44:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:546,2023-01-16T10:54:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:546,2023-01-17T01:37:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:546,2023-01-17T01:37:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:546,2023-01-17T01:37:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:546,2023-01-17T08:10:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:546,2023-01-17T14:29:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:546,2023-01-17T14:29:00.000Z,,,,,CreditAmountBSEGWRBTR
invoice receipt:546,2023-01-17T14:29:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:546,2023-01-17T14:39:00.000Z,,,,,PaymentBlockRSEGZLSPR
invoice receipt:577,1970-01-01T00:00:00.000Z,202600.0,202600.0,,,
invoice receipt:577,2023-02-03T02:40:00.000Z,,,,,DebitAmountBSEGDMBTR
invoice receipt:577,2023-02-03T02:40:00.000Z,,,,,CreditAmountBSEGWRBTR
