ocel_source_id,ocel_target_id,ocel_qualifier
goods receipt:1445,purchase_order:1187,Good Receipts of Purchase Order
goods receipt:1445,invoice receipt:1456,Invoice Receipt of Goods Receipt
goods receipt:1445,payment:697,goods_receipt_pm
goods receipt:449,purchase_order:381,Good Receipts of Purchase Order
goods receipt:449,material:548,Materials of Goods Receipt
goods receipt:449,invoice receipt:446,Invoice Receipt of Goods Receipt
goods receipt:449,payment:222,goods_receipt_pm
goods receipt:907,purchase_order:749,Good Receipts of Purchase Order
goods receipt:907,material:1096,Materials of Goods Receipt
goods receipt:907,invoice receipt:904,Invoice Receipt of Goods Receipt
goods receipt:907,payment:439,goods_receipt_pm
goods receipt:168,purchase_order:135,Good Receipts of Purchase Order
goods receipt:168,invoice receipt:168,Invoice Receipt of Goods Receipt
goods receipt:168,payment:88,goods_receipt_pm
goods receipt:1723,purchase_order:1410,Good Receipts of Purchase Order
goods receipt:1723,invoice receipt:1720,Invoice Receipt of Goods Receipt
goods receipt:1723,payment:826,goods_receipt_pm
goods receipt:585,purchase_order:497,Good Receipts of Purchase Order
goods receipt:585,invoice receipt:584,Invoice Receipt of Goods Receipt
goods receipt:585,payment:287,goods_receipt_pm
goods receipt:430,purchase_order:362,Good Receipts of Purchase Order
goods receipt:430,invoice receipt:433,Invoice Receipt of Goods Receipt
goods receipt:430,payment:215,goods_receipt_pm
goods receipt:1112,purchase_order:911,Good Receipts of Purchase Order
goods receipt:1112,invoice receipt:1115,Invoice Receipt of Goods Receipt
goods receipt:1112,payment:539,goods_receipt_pm
goods receipt:136,purchase_order:126,Good Receipts of Purchase Order
goods receipt:136,invoice receipt:144,Invoice Receipt of Goods Receipt
goods receipt:136,payment:77,goods_receipt_pm
goods receipt:559,purchase_order:460,Good Receipts of Purchase Order
goods receipt:559,invoice receipt:557,Invoice Receipt of Goods Receipt
goods receipt:559,payment:278,goods_receipt_pm
goods receipt:985,purchase_order:810,Good Receipts of Purchase Order
goods receipt:985,invoice receipt:986,Invoice Receipt of Goods Receipt
goods receipt:985,payment:479,goods_receipt_pm
goods receipt:628,purchase_order:525,Good Receipts of Purchase Order
goods receipt:628,material:761,Materials of Goods Receipt
goods receipt:628,material:760,Materials of Goods Receipt
goods receipt:628,invoice receipt:625,Invoice Receipt of Goods Receipt
goods receipt:628,payment:304,goods_receipt_pm
goods receipt:1854,purchase_order:1535,Good Receipts of Purchase Order
goods receipt:1854,invoice receipt:1854,Invoice Receipt of Goods Receipt
goods receipt:1854,payment:887,goods_receipt_pm
goods receipt:1631,purchase_order:1334,Good Receipts of Purchase Order
goods receipt:1631,invoice receipt:1633,Invoice Receipt of Goods Receipt
goods receipt:1631,payment:786,goods_receipt_pm
goods receipt:705,purchase_order:585,Good Receipts of Purchase Order
goods receipt:705,material:856,Materials of Goods Receipt
goods receipt:705,material:857,Materials of Goods Receipt
goods receipt:705,material:858,Materials of Goods Receipt
goods receipt:705,invoice receipt:713,Invoice Receipt of Goods Receipt
goods receipt:705,payment:345,goods_receipt_pm
goods receipt:614,purchase_order:504,Good Receipts of Purchase Order
goods receipt:614,material:739,Materials of Goods Receipt
goods receipt:614,invoice receipt:611,Invoice Receipt of Goods Receipt
goods receipt:614,payment:302,goods_receipt_pm
goods receipt:965,purchase_order:805,Good Receipts of Purchase Order
goods receipt:965,invoice receipt:960,Invoice Receipt of Goods Receipt
goods receipt:965,payment:466,goods_receipt_pm
goods receipt:1711,purchase_order:1406,Good Receipts of Purchase Order
goods receipt:1711,invoice receipt:1712,Invoice Receipt of Goods Receipt
goods receipt:1711,payment:823,goods_receipt_pm
goods receipt:762,purchase_order:629,Good Receipts of Purchase Order
goods receipt:762,invoice receipt:762,Invoice Receipt of Goods Receipt
goods receipt:762,payment:369,goods_receipt_pm
goods receipt:1405,purchase_order:1162,Good Receipts of Purchase Order
goods receipt:1405,invoice receipt:1410,Invoice Receipt of Goods Receipt
goods receipt:1405,payment:674,goods_receipt_pm
goods receipt:1106,purchase_order:909,Good Receipts of Purchase Order
goods receipt:1106,invoice receipt:1107,Invoice Receipt of Goods Receipt
goods receipt:1106,payment:536,goods_receipt_pm
goods receipt:1895,purchase_order:1568,Good Receipts of Purchase Order
goods receipt:1895,invoice receipt:1884,Invoice Receipt of Goods Receipt
goods receipt:1895,payment:901,goods_receipt_pm
goods receipt:1452,purchase_order:1193,Good Receipts of Purchase Order
goods receipt:1452,invoice receipt:1451,Invoice Receipt of Goods Receipt
goods receipt:1452,payment:696,goods_receipt_pm
goods receipt:571,purchase_order:479,Good Receipts of Purchase Order
goods receipt:571,invoice receipt:580,Invoice Receipt of Goods Receipt
goods receipt:571,payment:286,goods_receipt_pm
goods receipt:126,purchase_order:114,Good Receipts of Purchase Order
goods receipt:126,material:176,Materials of Goods Receipt
goods receipt:126,invoice receipt:125,Invoice Receipt of Goods Receipt
goods receipt:126,payment:67,goods_receipt_pm
goods receipt:636,purchase_order:529,Good Receipts of Purchase Order
goods receipt:636,invoice receipt:634,Invoice Receipt of Goods Receipt
goods receipt:636,payment:307,goods_receipt_pm
goods receipt:625,purchase_order:515,Good Receipts of Purchase Order
goods receipt:625,material:724,Materials of Goods Receipt
goods receipt:625,invoice receipt:626,Invoice Receipt of Goods Receipt
goods receipt:625,payment:305,goods_receipt_pm
goods receipt:1751,purchase_order:1430,Good Receipts of Purchase Order
goods receipt:1751,invoice receipt:1739,Invoice Receipt of Goods Receipt
goods receipt:1751,payment:836,goods_receipt_pm
goods receipt:1908,purchase_order:1583,Good Receipts of Purchase Order
goods receipt:1908,invoice receipt:1922,Invoice Receipt of Goods Receipt
goods receipt:1908,payment:914,goods_receipt_pm
goods receipt:1283,purchase_order:1064,Good Receipts of Purchase Order
goods receipt:1283,invoice receipt:1286,Invoice Receipt of Goods Receipt
goods receipt:1283,payment:621,goods_receipt_pm
goods receipt:917,purchase_order:753,Good Receipts of Purchase Order
goods receipt:917,invoice receipt:915,Invoice Receipt of Goods Receipt
goods receipt:917,payment:447,goods_receipt_pm
goods receipt:1135,purchase_order:932,Good Receipts of Purchase Order
goods receipt:1135,invoice receipt:1127,Invoice Receipt of Goods Receipt
goods receipt:1135,payment:543,goods_receipt_pm
goods receipt:605,purchase_order:513,Good Receipts of Purchase Order
goods receipt:605,invoice receipt:609,Invoice Receipt of Goods Receipt
goods receipt:605,payment:296,goods_receipt_pm
goods receipt:1034,purchase_order:851,Good Receipts of Purchase Order
goods receipt:1034,invoice receipt:1026,Invoice Receipt of Goods Receipt
goods receipt:1034,payment:500,goods_receipt_pm
goods receipt:1575,purchase_order:1291,Good Receipts of Purchase Order
goods receipt:1575,invoice receipt:1576,Invoice Receipt of Goods Receipt
goods receipt:1575,payment:760,goods_receipt_pm
goods receipt:1725,purchase_order:1410,Good Receipts of Purchase Order
goods receipt:1725,invoice receipt:1721,Invoice Receipt of Goods Receipt
goods receipt:1725,payment:826,goods_receipt_pm
goods receipt:632,purchase_order:527,Good Receipts of Purchase Order
goods receipt:632,invoice receipt:629,Invoice Receipt of Goods Receipt
goods receipt:632,payment:306,goods_receipt_pm
goods receipt:1118,purchase_order:928,Good Receipts of Purchase Order
goods receipt:1118,invoice receipt:1123,Invoice Receipt of Goods Receipt
goods receipt:1118,payment:541,goods_receipt_pm
goods receipt:1669,purchase_order:1384,Good Receipts of Purchase Order
goods receipt:1669,invoice receipt:1678,Invoice Receipt of Goods Receipt
goods receipt:1669,payment:807,goods_receipt_pm
goods receipt:749,purchase_order:621,Good Receipts of Purchase Order
goods receipt:749,material:903,Materials of Goods Receipt
goods receipt:749,invoice receipt:759,Invoice Receipt of Goods Receipt
goods receipt:749,payment:367,goods_receipt_pm
goods receipt:1246,purchase_order:1015,Good Receipts of Purchase Order
goods receipt:1246,invoice receipt:1245,Invoice Receipt of Goods Receipt
goods receipt:1246,payment:605,goods_receipt_pm
goods receipt:919,purchase_order:765,Good Receipts of Purchase Order
goods receipt:919,material:1116,Materials of Goods Receipt
goods receipt:919,invoice receipt:923,Invoice Receipt of Goods Receipt
goods receipt:919,payment:446,goods_receipt_pm
goods receipt:1459,purchase_order:1210,Good Receipts of Purchase Order
goods receipt:1459,material:1729,Materials of Goods Receipt
goods receipt:1459,material:1728,Materials of Goods Receipt
goods receipt:1459,invoice receipt:1448,Invoice Receipt of Goods Receipt
goods receipt:1459,payment:691,goods_receipt_pm
goods receipt:1682,purchase_order:1386,Good Receipts of Purchase Order
goods receipt:1682,invoice receipt:1682,Invoice Receipt of Goods Receipt
goods receipt:1682,payment:812,goods_receipt_pm
goods receipt:916,purchase_order:753,Good Receipts of Purchase Order
goods receipt:916,invoice receipt:916,Invoice Receipt of Goods Receipt
goods receipt:916,payment:447,goods_receipt_pm
goods receipt:1349,purchase_order:1126,Good Receipts of Purchase Order
goods receipt:1349,invoice receipt:1349,Invoice Receipt of Goods Receipt
goods receipt:1349,payment:645,goods_receipt_pm
goods receipt:1339,purchase_order:1099,Good Receipts of Purchase Order
goods receipt:1339,invoice receipt:1338,Invoice Receipt of Goods Receipt
goods receipt:1339,payment:642,goods_receipt_pm
goods receipt:1614,purchase_order:1325,Good Receipts of Purchase Order
goods receipt:1614,invoice receipt:1608,Invoice Receipt of Goods Receipt
goods receipt:1614,payment:775,goods_receipt_pm
goods receipt:1393,purchase_order:1150,Good Receipts of Purchase Order
goods receipt:1393,material:1681,Materials of Goods Receipt
goods receipt:1393,invoice receipt:1387,Invoice Receipt of Goods Receipt
goods receipt:1393,payment:661,goods_receipt_pm
goods receipt:1414,purchase_order:1167,Good Receipts of Purchase Order
goods receipt:1414,invoice receipt:1417,Invoice Receipt of Goods Receipt
goods receipt:1414,payment:677,goods_receipt_pm
goods receipt:1023,purchase_order:840,Good Receipts of Purchase Order
goods receipt:1023,invoice receipt:1021,Invoice Receipt of Goods Receipt
goods receipt:1023,payment:503,goods_receipt_pm
goods receipt:229,purchase_order:206,Good Receipts of Purchase Order
goods receipt:229,invoice receipt:235,Invoice Receipt of Goods Receipt
goods receipt:229,payment:117,goods_receipt_pm
goods receipt:1881,purchase_order:1557,Good Receipts of Purchase Order
goods receipt:1881,material:2260,Materials of Goods Receipt
goods receipt:1881,invoice receipt:1872,Invoice Receipt of Goods Receipt
goods receipt:1881,payment:897,goods_receipt_pm
goods receipt:502,purchase_order:426,Good Receipts of Purchase Order
goods receipt:502,material:612,Materials of Goods Receipt
goods receipt:502,invoice receipt:510,Invoice Receipt of Goods Receipt
goods receipt:502,payment:254,goods_receipt_pm
goods receipt:1658,purchase_order:1356,Good Receipts of Purchase Order
goods receipt:1658,invoice receipt:1655,Invoice Receipt of Goods Receipt
goods receipt:1658,payment:797,goods_receipt_pm
goods receipt:1343,purchase_order:1108,Good Receipts of Purchase Order
goods receipt:1343,invoice receipt:1345,Invoice Receipt of Goods Receipt
goods receipt:1343,payment:643,goods_receipt_pm
goods receipt:817,purchase_order:673,Good Receipts of Purchase Order
goods receipt:817,invoice receipt:827,Invoice Receipt of Goods Receipt
goods receipt:817,payment:400,goods_receipt_pm
goods receipt:1213,purchase_order:1002,Good Receipts of Purchase Order
goods receipt:1213,material:1471,Materials of Goods Receipt
goods receipt:1213,invoice receipt:1214,Invoice Receipt of Goods Receipt
goods receipt:1213,payment:584,goods_receipt_pm
goods receipt:117,purchase_order:113,Good Receipts of Purchase Order
goods receipt:117,material:168,Materials of Goods Receipt
goods receipt:117,material:169,Materials of Goods Receipt
goods receipt:117,material:167,Materials of Goods Receipt
goods receipt:117,invoice receipt:118,Invoice Receipt of Goods Receipt
goods receipt:117,payment:60,goods_receipt_pm
goods receipt:434,purchase_order:366,Good Receipts of Purchase Order
goods receipt:434,invoice receipt:426,Invoice Receipt of Goods Receipt
goods receipt:434,payment:214,goods_receipt_pm
goods receipt:1743,purchase_order:1443,Good Receipts of Purchase Order
goods receipt:1743,invoice receipt:1745,Invoice Receipt of Goods Receipt
goods receipt:1743,payment:839,goods_receipt_pm
goods receipt:59,purchase_order:48,Good Receipts of Purchase Order
goods receipt:59,invoice receipt:57,Invoice Receipt of Goods Receipt
goods receipt:59,payment:31,goods_receipt_pm
goods receipt:120,purchase_order:99,Good Receipts of Purchase Order
goods receipt:120,invoice receipt:115,Invoice Receipt of Goods Receipt
goods receipt:120,payment:65,goods_receipt_pm
goods receipt:1028,purchase_order:841,Good Receipts of Purchase Order
goods receipt:1028,invoice receipt:1031,Invoice Receipt of Goods Receipt
goods receipt:1028,payment:501,goods_receipt_pm
goods receipt:361,purchase_order:297,Good Receipts of Purchase Order
goods receipt:361,material:414,Materials of Goods Receipt
goods receipt:361,invoice receipt:348,Invoice Receipt of Goods Receipt
goods receipt:361,payment:166,goods_receipt_pm
goods receipt:1501,purchase_order:1235,Good Receipts of Purchase Order
goods receipt:1501,invoice receipt:1508,Invoice Receipt of Goods Receipt
goods receipt:1501,payment:722,goods_receipt_pm
goods receipt:910,purchase_order:746,Good Receipts of Purchase Order
goods receipt:910,material:1071,Materials of Goods Receipt
goods receipt:910,invoice receipt:906,Invoice Receipt of Goods Receipt
goods receipt:910,payment:441,goods_receipt_pm
goods receipt:214,purchase_order:182,Good Receipts of Purchase Order
goods receipt:214,invoice receipt:209,Invoice Receipt of Goods Receipt
goods receipt:214,payment:107,goods_receipt_pm
goods receipt:1424,purchase_order:1172,Good Receipts of Purchase Order
goods receipt:1424,invoice receipt:1420,Invoice Receipt of Goods Receipt
goods receipt:1424,payment:680,goods_receipt_pm
goods receipt:1099,purchase_order:899,Good Receipts of Purchase Order
goods receipt:1099,invoice receipt:1095,Invoice Receipt of Goods Receipt
goods receipt:1099,payment:527,goods_receipt_pm
goods receipt:106,purchase_order:103,Good Receipts of Purchase Order
goods receipt:106,invoice receipt:105,Invoice Receipt of Goods Receipt
goods receipt:106,payment:55,goods_receipt_pm
goods receipt:1148,purchase_order:954,Good Receipts of Purchase Order
goods receipt:1148,invoice receipt:1148,Invoice Receipt of Goods Receipt
goods receipt:1148,payment:552,goods_receipt_pm
goods receipt:1692,purchase_order:1399,Good Receipts of Purchase Order
goods receipt:1692,material:2036,Materials of Goods Receipt
goods receipt:1692,invoice receipt:1688,Invoice Receipt of Goods Receipt
goods receipt:1692,payment:808,goods_receipt_pm
goods receipt:1054,purchase_order:861,Good Receipts of Purchase Order
goods receipt:1054,invoice receipt:1048,Invoice Receipt of Goods Receipt
goods receipt:1054,payment:510,goods_receipt_pm
goods receipt:1878,purchase_order:1543,Good Receipts of Purchase Order
goods receipt:1878,invoice receipt:1874,Invoice Receipt of Goods Receipt
goods receipt:1878,payment:896,goods_receipt_pm
goods receipt:1539,purchase_order:1263,Good Receipts of Purchase Order
goods receipt:1539,material:1861,Materials of Goods Receipt
goods receipt:1539,invoice receipt:1540,Invoice Receipt of Goods Receipt
goods receipt:1539,payment:736,goods_receipt_pm
goods receipt:365,purchase_order:314,Good Receipts of Purchase Order
goods receipt:365,invoice receipt:366,Invoice Receipt of Goods Receipt
goods receipt:365,payment:179,goods_receipt_pm
goods receipt:542,purchase_order:456,Good Receipts of Purchase Order
goods receipt:542,invoice receipt:546,Invoice Receipt of Goods Receipt
goods receipt:542,payment:270,goods_receipt_pm
goods receipt:1398,purchase_order:1159,Good Receipts of Purchase Order
goods receipt:1398,material:1702,Materials of Goods Receipt
goods receipt:1398,invoice receipt:1392,Invoice Receipt of Goods Receipt
goods receipt:1398,payment:665,goods_receipt_pm
goods receipt:1415,purchase_order:1167,Good Receipts of Purchase Order
goods receipt:1415,invoice receipt:1415,Invoice Receipt of Goods Receipt
goods receipt:1415,payment:677,goods_receipt_pm
goods receipt:1089,purchase_order:895,Good Receipts of Purchase Order
goods receipt:1089,invoice receipt:1089,Invoice Receipt of Goods Receipt
goods receipt:1089,payment:525,goods_receipt_pm
goods receipt:854,purchase_order:696,Good Receipts of Purchase Order
goods receipt:854,invoice receipt:858,Invoice Receipt of Goods Receipt
goods receipt:854,payment:410,goods_receipt_pm
goods receipt:1626,purchase_order:1340,Good Receipts of Purchase Order
goods receipt:1626,material:1929,Materials of Goods Receipt
goods receipt:1626,invoice receipt:1626,Invoice Receipt of Goods Receipt
goods receipt:1626,payment:788,goods_receipt_pm
goods receipt:1816,purchase_order:1493,Good Receipts of Purchase Order
goods receipt:1816,invoice receipt:1818,Invoice Receipt of Goods Receipt
goods receipt:1816,payment:870,goods_receipt_pm
goods receipt:624,purchase_order:521,Good Receipts of Purchase Order
goods receipt:624,invoice receipt:618,Invoice Receipt of Goods Receipt
goods receipt:624,payment:300,goods_receipt_pm
goods receipt:1286,purchase_order:1064,Good Receipts of Purchase Order
goods receipt:1286,invoice receipt:1287,Invoice Receipt of Goods Receipt
goods receipt:1286,payment:621,goods_receipt_pm
goods receipt:1478,purchase_order:1225,Good Receipts of Purchase Order
goods receipt:1478,invoice receipt:1475,Invoice Receipt of Goods Receipt
goods receipt:1478,payment:705,goods_receipt_pm
goods receipt:1048,purchase_order:868,Good Receipts of Purchase Order
goods receipt:1048,invoice receipt:1060,Invoice Receipt of Goods Receipt
goods receipt:1048,payment:512,goods_receipt_pm
goods receipt:1469,purchase_order:1217,Good Receipts of Purchase Order
goods receipt:1469,material:1775,Materials of Goods Receipt
goods receipt:1469,invoice receipt:1460,Invoice Receipt of Goods Receipt
goods receipt:1469,payment:698,goods_receipt_pm
goods receipt:213,purchase_order:182,Good Receipts of Purchase Order
goods receipt:213,invoice receipt:208,Invoice Receipt of Goods Receipt
goods receipt:213,payment:107,goods_receipt_pm
goods receipt:1244,purchase_order:1031,Good Receipts of Purchase Order
goods receipt:1244,material:1479,Materials of Goods Receipt
goods receipt:1244,material:1481,Materials of Goods Receipt
goods receipt:1244,material:1480,Materials of Goods Receipt
goods receipt:1244,invoice receipt:1232,Invoice Receipt of Goods Receipt
goods receipt:1244,payment:596,goods_receipt_pm
goods receipt:574,purchase_order:483,Good Receipts of Purchase Order
goods receipt:574,invoice receipt:571,Invoice Receipt of Goods Receipt
goods receipt:574,payment:284,goods_receipt_pm
goods receipt:1002,purchase_order:835,Good Receipts of Purchase Order
goods receipt:1002,material:1208,Materials of Goods Receipt
goods receipt:1002,material:1207,Materials of Goods Receipt
goods receipt:1002,invoice receipt:994,Invoice Receipt of Goods Receipt
goods receipt:1002,payment:482,goods_receipt_pm
goods receipt:1790,purchase_order:1472,Good Receipts of Purchase Order
goods receipt:1790,invoice receipt:1787,Invoice Receipt of Goods Receipt
goods receipt:1790,payment:853,goods_receipt_pm
goods receipt:1321,purchase_order:1090,Good Receipts of Purchase Order
goods receipt:1321,invoice receipt:1313,Invoice Receipt of Goods Receipt
goods receipt:1321,payment:629,goods_receipt_pm
goods receipt:1391,purchase_order:1135,Good Receipts of Purchase Order
goods receipt:1391,invoice receipt:1381,Invoice Receipt of Goods Receipt
goods receipt:1391,payment:662,goods_receipt_pm
goods receipt:909,purchase_order:746,Good Receipts of Purchase Order
goods receipt:909,invoice receipt:907,Invoice Receipt of Goods Receipt
goods receipt:909,payment:441,goods_receipt_pm
goods receipt:287,purchase_order:240,Good Receipts of Purchase Order
goods receipt:287,invoice receipt:287,Invoice Receipt of Goods Receipt
goods receipt:287,payment:139,goods_receipt_pm
goods receipt:1506,purchase_order:1229,Good Receipts of Purchase Order
goods receipt:1506,invoice receipt:1501,Invoice Receipt of Goods Receipt
goods receipt:1506,payment:720,goods_receipt_pm
goods receipt:1914,purchase_order:1584,Good Receipts of Purchase Order
goods receipt:1914,invoice receipt:1909,Invoice Receipt of Goods Receipt
goods receipt:1914,payment:915,goods_receipt_pm
goods receipt:1178,purchase_order:977,Good Receipts of Purchase Order
goods receipt:1178,invoice receipt:1178,Invoice Receipt of Goods Receipt
goods receipt:1178,payment:566,goods_receipt_pm
goods receipt:727,purchase_order:599,Good Receipts of Purchase Order
goods receipt:727,invoice receipt:727,Invoice Receipt of Goods Receipt
goods receipt:727,payment:353,goods_receipt_pm
goods receipt:736,purchase_order:611,Good Receipts of Purchase Order
goods receipt:736,invoice receipt:742,Invoice Receipt of Goods Receipt
goods receipt:736,payment:357,goods_receipt_pm
goods receipt:1361,purchase_order:1129,Good Receipts of Purchase Order
goods receipt:1361,invoice receipt:1351,Invoice Receipt of Goods Receipt
goods receipt:1361,payment:647,goods_receipt_pm
goods receipt:1400,purchase_order:1149,Good Receipts of Purchase Order
goods receipt:1400,material:1671,Materials of Goods Receipt
goods receipt:1400,material:1672,Materials of Goods Receipt
goods receipt:1400,invoice receipt:1399,Invoice Receipt of Goods Receipt
goods receipt:1400,payment:666,goods_receipt_pm
goods receipt:1846,purchase_order:1513,Good Receipts of Purchase Order
goods receipt:1846,invoice receipt:1840,Invoice Receipt of Goods Receipt
goods receipt:1846,payment:878,goods_receipt_pm
goods receipt:65,purchase_order:63,Good Receipts of Purchase Order
goods receipt:65,material:105,Materials of Goods Receipt
goods receipt:65,invoice receipt:68,Invoice Receipt of Goods Receipt
goods receipt:65,payment:33,goods_receipt_pm
goods receipt:412,purchase_order:348,Good Receipts of Purchase Order
goods receipt:412,invoice receipt:411,Invoice Receipt of Goods Receipt
goods receipt:412,payment:206,goods_receipt_pm
goods receipt:547,purchase_order:453,Good Receipts of Purchase Order
goods receipt:547,material:618,Materials of Goods Receipt
goods receipt:547,invoice receipt:554,Invoice Receipt of Goods Receipt
goods receipt:547,payment:274,goods_receipt_pm
goods receipt:860,purchase_order:705,Good Receipts of Purchase Order
goods receipt:860,invoice receipt:862,Invoice Receipt of Goods Receipt
goods receipt:860,payment:411,goods_receipt_pm
goods receipt:1917,purchase_order:1566,Good Receipts of Purchase Order
goods receipt:1917,invoice receipt:1919,Invoice Receipt of Goods Receipt
goods receipt:1917,payment:919,goods_receipt_pm
